Carrier,Orig_Port,Dest_Port,Min_Weight,Max_Weight,Service_Code,Minimum_Cost,Rate,Mode,Transit_Days,Carrier_Type
V001_CARRIER,PORT03,PORT09,2000,99999.99,DTD,207.07,2.04,GROUND,14,TYPE_2
V001_CARRIER,PORT03,PORT09,0,99.99,CRF,73.06,1.25,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,100,249.99,CRF,73.06,0.35,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,250,499.99,CRF,73.06,2.15,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,500,1999.99,CRF,73.06,1.51,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,2000,99999.99,CRF,73.06,2.49,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,0,99.99,DTP,182.09,0.5,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,100,249.99,DTP,182.09,0.48,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,250,499.99,DTP,182.09,1.99,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,500,1999.99,DTP,182.09,0.1,GROUND,4,TYPE_2
V001_CARRIER,PORT03,PORT09,2000,99999.99,DTP,182.09,2.44,GROUND,4,TYPE_2
V001_CARRIER,PORT05,PORT09,0,99.99,CRF,226.97,0.94,GROUND,14,TYPE_2
V001_CARRIER,PORT05,PORT09,100,249.99,CRF,226.97,1.72,GROUND,14,TYPE_2
V001_CARRIER,PORT05,PORT09,250,499.99,CRF,226.97,1.16,GROUND,14,TYPE_2
V001_CARRIER,PORT05,PORT09,500,1999.99,CRF,226.97,0.06,GROUND,14,TYPE_2
V001_CARRIER,PORT05,PORT09,2000,99999.99,CRF,226.97,0.36,GROUND,14,TYPE_2
V001_CARRIER,PORT02,PORT09,0,99.99,CRF,178.76,1.78,GROUND,3,TYPE_2
V001_CARRIER,PORT02,PORT09,100,249.99,CRF,178.76,1.85,GROUND,3,TYPE_2
V001_CARRIER,PORT02,PORT09,250,499.99,CRF,178.76,0.66,GROUND,3,TYPE_2
V001_CARRIER,PORT02,PORT09,500,1999.99,CRF,178.76,0.27,GROUND,3,TYPE_2
V001_CARRIER,PORT02,PORT09,2000,99999.99,CRF,178.76,0.18,GROUND,3,TYPE_2
V001_CARRIER,PORT02,PORT09,0,99.99,DTP,232.87,1.19,GROUND,5,TYPE_2
V001_CARRIER,PORT02,PORT09,100,249.99,DTP,232.87,0.91,GROUND,5,TYPE_2
V001_CARRIER,PORT02,PORT09,250,499.99,DTP,232.87,1.53,GROUND,5,TYPE_2
V001_CARRIER,PORT02,PORT09,500,1999.99,DTP,232.87,1.69,GROUND,5,TYPE_2
V001_CARRIER,PORT02,PORT09,2000,99999.99,DTP,232.87,2.01,GROUND,5,TYPE_2
V001_CARRIER,PORT06,PORT09,0,99.99,CRF,126.88,0.97,GROUND,4,TYPE_2
V001_CARRIER,PORT06,PORT09,100,249.99,CRF,126.88,2.44,GROUND,4,TYPE_2
V001_CARRIER,PORT06,PORT09,250,499.99,CRF,126.88,1.69,GROUND,4,TYPE_2
V001_CARRIER,PORT06,PORT09,500,1999.99,CRF,126.88,0.36,GROUND,4,TYPE_2
V001_CARRIER,PORT06,PORT09,2000,99999.99,CRF,126.88,2.23,GROUND,4,TYPE_2
V001_CARRIER,PORT06,PORT09,0,99.99,DTD,145.75,0.67,GROUND,0,TYPE_2
V001_CARRIER,PORT06,PORT09,100,249.99,DTD,145.75,1.27,GROUND,0,TYPE_2
V001_CARRIER,PORT06,PORT09,250,499.99,DTD,145.75,2.33,GROUND,0,TYPE_2
V001_CARRIER,PORT06,PORT09,500,1999.99,DTD,145.75,2.2,GROUND,0,TYPE_2
V001_CARRIER,PORT06,PORT09,2000,99999.99,DTD,145.75,0.36,GROUND,0,TYPE_2
V001_CARRIER,PORT06,PORT09,0,99.99,DTP,178.0,1.1,GROUND,5,TYPE_2
V001_CARRIER,PORT06,PORT09,100,249.99,DTP,178.0,0.67,GROUND,5,TYPE_2
V001_CARRIER,PORT06,PORT09,250,499.99,DTP,178.0,0.8,GROUND,5,TYPE_2
V001_CARRIER,PORT06,PORT09,500,1999.99,DTP,178.0,2.45,GROUND,5,TYPE_2
V001_CARRIER,PORT06,PORT09,2000,99999.99,DTP,178.0,1.26,GROUND,5,TYPE_2
V002_CARRIER,PORT05,PORT09,0,99.99,DTD,191.27,0.4,GROUND,14,TYPE_2
V002_CARRIER,PORT05,PORT09,100,249.99,DTD,191.27,2.14,GROUND,14,TYPE_2
V002_CARRIER,PORT05,PORT09,250,499.99,DTD,191.27,1.65,GROUND,14,TYPE_2
V002_CARRIER,PORT05,PORT09,500,1999.99,DTD,191.27,2.0,GROUND,14,TYPE_2
V002_CARRIER,PORT05,PORT09,2000,99999.99,DTD,191.27,0.16,GROUND,14,TYPE_2
V002_CARRIER,PORT05,PORT09,0,99.99,DTP,15.06,0.48,GROUND,2,TYPE_2
V002_CARRIER,PORT05,PORT09,100,249.99,DTP,15.06,1.19,GROUND,2,TYPE_2
V002_CARRIER,PORT05,PORT09,250,499.99,DTP,15.06,0.43,GROUND,2,TYPE_2
V002_CARRIER,PORT05,PORT09,500,1999.99,DTP,15.06,1.18,GROUND,2,TYPE_2
V002_CARRIER,PORT05,PORT09,2000,99999.99,DTP,15.06,0.32,GROUND,2,TYPE_2
V002_CARRIER,PORT10,PORT09,0,99.99,DTD,247.22,1.42,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,100,249.99,DTD,247.22,1.16,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,250,499.99,DTD,247.22,0.31,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,500,1999.99,DTD,247.22,1.81,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,2000,99999.99,DTD,247.22,0.4,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,0,99.99,DTP,24.75,2.17,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,100,249.99,DTP,24.75,0.48,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,250,499.99,DTP,24.75,0.45,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,500,1999.99,DTP,24.75,1.29,GROUND,5,TYPE_2
V002_CARRIER,PORT10,PORT09,2000,99999.99,DTP,24.75,0.7,GROUND,5,TYPE_2
V002_CARRIER,PORT09,PORT09,0,99.99,CRF,104.98,0.22,GROUND,2,TYPE_2
V002_CARRIER,PORT09,PORT09,100,249.99,CRF,104.98,1.93,GROUND,2,TYPE_2
V002_CARRIER,PORT09,PORT09,250,499.99,CRF,104.98,1.7,GROUND,2,TYPE_2
V002_CARRIER,PORT09,PORT09,500,1999.99,CRF,104.98,2.22,GROUND,2,TYPE_2
V002_CARRIER,PORT09,PORT09,2000,99999.99,CRF,104.98,0.09,GROUND,2,TYPE_2
V002_CARRIER,PORT09,PORT09,0,99.99,DTD,99.45,1.49,GROUND,1,TYPE_2
V002_CARRIER,PORT09,PORT09,100,249.99,DTD,99.45,2.38,GROUND,1,TYPE_2
V002_CARRIER,PORT09,PORT09,250,499.99,DTD,99.45,2.1,GROUND,1,TYPE_2
V002_CARRIER,PORT09,PORT09,500,1999.99,DTD,99.45,0.41,GROUND,1,TYPE_2
V002_CARRIER,PORT09,PORT09,2000,99999.99,DTD,99.45,0.23,GROUND,1,TYPE_2
V002_CARRIER,PORT09,PORT09,0,99.99,DTP,114.33,2.39,GROUND,14,TYPE_2
V002_CARRIER,PORT09,PORT09,100,249.99,DTP,114.33,1.5,GROUND,14,TYPE_2
V002_CARRIER,PORT09,PORT09,250,499.99,DTP,114.33,0.04,GROUND,14,TYPE_2
V002_CARRIER,PORT09,PORT09,500,1999.99,DTP,114.33,2.43,GROUND,14,TYPE_2
V002_CARRIER,PORT09,PORT09,2000,99999.99,DTP,114.33,1.65,GROUND,14,TYPE_2
V002_CARRIER,PORT08,PORT09,0,99.99,DTP,216.02,2.01,GROUND,3,TYPE_2
V002_CARRIER,PORT08,PORT09,100,249.99,DTP,216.02,0.73,GROUND,3,TYPE_2
V002_CARRIER,PORT08,PORT09,250,499.99,DTP,216.02,2.0,GROUND,3,TYPE_2
V002_CARRIER,PORT08,PORT09,500,1999.99,DTP,216.02,1.87,GROUND,3,TYPE_2
V002_CARRIER,PORT08,PORT09,2000,99999.99,DTP,216.02,1.38,GROUND,3,TYPE_2
V002_CARRIER,PORT08,PORT09,0,99.99,DTD,24.5,0.66,GROUND,6,TYPE_2
V002_CARRIER,PORT08,PORT09,100,249.99,DTD,24.5,0.62,GROUND,6,TYPE_2
V002_CARRIER,PORT08,PORT09,250,499.99,DTD,24.5,1.93,GROUND,6,TYPE_2
V002_CARRIER,PORT08,PORT09,500,1999.99,DTD,24.5,1.02,GROUND,6,TYPE_2
V002_CARRIER,PORT08,PORT09,2000,99999.99,DTD,24.5,0.08,GROUND,6,TYPE_2
V002_CARRIER,PORT03,PORT09,0,99.99,DTD,195.2,0.73,GROUND,6,TYPE_2
V002_CARRIER,PORT03,PORT09,100,249.99,DTD,195.2,1.89,GROUND,6,TYPE_2
V002_CARRIER,PORT03,PORT09,250,499.99,DTD,195.2,1.65,GROUND,6,TYPE_2
V002_CARRIER,PORT03,PORT09,500,1999.99,DTD,195.2,0.33,GROUND,6,TYPE_2
V002_CARRIER,PORT03,PORT09,2000,99999.99,DTD,195.2,1.24,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,0,99.99,DTD,119.9,1.42,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,100,249.99,DTD,119.9,1.07,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,250,499.99,DTD,119.9,1.9,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,500,1999.99,DTD,119.9,2.03,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,2000,99999.99,DTD,119.9,1.55,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,0,99.99,DTP,158.23,0.26,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,100,249.99,DTP,158.23,1.3,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,250,499.99,DTP,158.23,2.43,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,500,1999.99,DTP,158.23,1.7,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,2000,99999.99,DTP,158.23,1.63,GROUND,6,TYPE_2
V003_CARRIER,PORT06,PORT09,0,99.99,CRF,232.77,1.33,GROUND,2,TYPE_2
V003_CARRIER,PORT06,PORT09,100,249.99,CRF,232.77,1.63,GROUND,2,TYPE_2
V003_CARRIER,PORT06,PORT09,250,499.99,CRF,232.77,0.24,GROUND,2,TYPE_2
V003_CARRIER,PORT06,PORT09,500,1999.99,CRF,232.77,1.19,GROUND,2,TYPE_2
V003_CARRIER,PORT06,PORT09,2000,99999.99,CRF,232.77,0.23,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,0,99.99,DTP,171.55,0.77,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,100,249.99,DTP,171.55,0.64,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,250,499.99,DTP,171.55,1.09,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,500,1999.99,DTP,171.55,1.43,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,2000,99999.99,DTP,171.55,1.39,GROUND,2,TYPE_2
V003_CARRIER,PORT02,PORT09,0,99.99,DTD,129.08,1.29,GROUND,0,TYPE_2
V003_CARRIER,PORT02,PORT09,100,249.99,DTD,129.08,1.05,GROUND,0,TYPE_2
V003_CARRIER,PORT02,PORT09,250,499.99,DTD,129.08,1.18,GROUND,0,TYPE_2
V003_CARRIER,PORT02,PORT09,500,1999.99,DTD,129.08,1.81,GROUND,0,TYPE_2
V003_CARRIER,PORT02,PORT09,2000,99999.99,DTD,129.08,2.04,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,0,99.99,DTP,29.81,1.66,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,100,249.99,DTP,29.81,0.47,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,250,499.99,DTP,29.81,0.48,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,500,1999.99,DTP,29.81,1.0,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,2000,99999.99,DTP,29.81,0.24,GROUND,0,TYPE_2
V003_CARRIER,PORT10,PORT09,0,99.99,DTD,79.52,1.82,GROUND,4,TYPE_2
V003_CARRIER,PORT10,PORT09,100,249.99,DTD,79.52,1.9,GROUND,4,TYPE_2
V003_CARRIER,PORT10,PORT09,250,499.99,DTD,79.52,1.14,GROUND,4,TYPE_2
V003_CARRIER,PORT10,PORT09,500,1999.99,DTD,79.52,2.03,GROUND,4,TYPE_2
V003_CARRIER,PORT10,PORT09,2000,99999.99,DTD,79.52,0.87,GROUND,4,TYPE_2
V004_CARRIER,PORT02,PORT09,0,99.99,CRF,99.64,0.06,AIR,0,TYPE_1
V004_CARRIER,PORT02,PORT09,100,249.99,CRF,99.64,1.65,AIR,0,TYPE_1
V004_CARRIER,PORT02,PORT09,250,499.99,CRF,99.64,1.17,AIR,0,TYPE_1
V004_CARRIER,PORT02,PORT09,500,1999.99,CRF,99.64,1.03,AIR,0,TYPE_1
V004_CARRIER,PORT02,PORT09,2000,99999.99,CRF,99.64,1.65,AIR,0,TYPE_1
V004_CARRIER,PORT02,PORT09,0,99.99,DTD,76.75,2.04,AIR,14,TYPE_1
V004_CARRIER,PORT02,PORT09,100,249.99,DTD,76.75,1.55,AIR,14,TYPE_1
V004_CARRIER,PORT02,PORT09,250,499.99,DTD,76.75,1.74,AIR,14,TYPE_1
V004_CARRIER,PORT02,PORT09,500,1999.99,DTD,76.75,2.41,AIR,14,TYPE_1
V004_CARRIER,PORT02,PORT09,2000,99999.99,DTD,76.75,1.7,AIR,14,TYPE_1
V004_CARRIER,PORT05,PORT09,0,99.99,DTD,4.95,0.31,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,100,249.99,DTD,4.95,0.07,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,250,499.99,DTD,4.95,2.43,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,500,1999.99,DTD,4.95,2.15,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,2000,99999.99,DTD,4.95,0.55,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,0,99.99,CRF,162.96,1.11,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,100,249.99,CRF,162.96,1.58,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,250,499.99,CRF,162.96,1.98,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,500,1999.99,CRF,162.96,0.5,AIR,2,TYPE_1
V004_CARRIER,PORT05,PORT09,2000,99999.99,CRF,162.96,0.77,AIR,2,TYPE_1
V004_CARRIER,PORT10,PORT09,0,99.99,DTD,6.92,0.44,AIR,6,TYPE_1
V004_CARRIER,PORT10,PORT09,100,249.99,DTD,6.92,0.41,AIR,6,TYPE_1
V004_CARRIER,PORT10,PORT09,250,499.99,DTD,6.92,1.77,AIR,6,TYPE_1
V004_CARRIER,PORT10,PORT09,500,1999.99,DTD,6.92,2.41,AIR,6,TYPE_1
V004_CARRIER,PORT10,PORT09,2000,99999.99,DTD,6.92,1.19,AIR,6,TYPE_1
V004_CARRIER,PORT10,PORT09,0,99.99,DTP,146.93,0.53,AIR,14,TYPE_1
V004_CARRIER,PORT10,PORT09,100,249.99,DTP,146.93,1.44,AIR,14,TYPE_1
V004_CARRIER,PORT10,PORT09,250,499.99,DTP,146.93,2.09,AIR,14,TYPE_1
V004_CARRIER,PORT10,PORT09,500,1999.99,DTP,146.93,0.16,AIR,14,TYPE_1
V004_CARRIER,PORT10,PORT09,2000,99999.99,DTP,146.93,0.05,AIR,14,TYPE_1
V005_CARRIER,PORT08,PORT09,0,99.99,DTP,179.0,1.33,SEA,3,TYPE_3
V005_CARRIER,PORT08,PORT09,100,249.99,DTP,179.0,1.07,SEA,3,TYPE_3
V005_CARRIER,PORT08,PORT09,250,499.99,DTP,179.0,0.81,SEA,3,TYPE_3
V005_CARRIER,PORT08,PORT09,500,1999.99,DTP,179.0,0.19,SEA,3,TYPE_3
V005_CARRIER,PORT08,PORT09,2000,99999.99,DTP,179.0,2.24,SEA,3,TYPE_3
V005_CARRIER,PORT08,PORT09,0,99.99,CRF,222.45,0.32,SEA,6,TYPE_3
V005_CARRIER,PORT08,PORT09,100,249.99,CRF,222.45,1.57,SEA,6,TYPE_3
V005_CARRIER,PORT08,PORT09,250,499.99,CRF,222.45,1.63,SEA,6,TYPE_3
V005_CARRIER,PORT08,PORT09,500,1999.99,CRF,222.45,1.14,SEA,6,TYPE_3
V005_CARRIER,PORT08,PORT09,2000,99999.99,CRF,222.45,1.11,SEA,6,TYPE_3
V005_CARRIER,PORT09,PORT09,0,99.99,DTP,118.11,1.11,SEA,3,TYPE_3
V005_CARRIER,PORT09,PORT09,100,249.99,DTP,118.11,1.28,SEA,3,TYPE_3
V005_CARRIER,PORT09,PORT09,250,499.99,DTP,118.11,1.48,SEA,3,TYPE_3
V005_CARRIER,PORT09,PORT09,500,1999.99,DTP,118.11,1.72,SEA,3,TYPE_3
V005_CARRIER,PORT09,PORT09,2000,99999.99,DTP,118.11,2.31,SEA,3,TYPE_3
V005_CARRIER,PORT05,PORT09,0,99.99,CRF,181.16,0.99,SEA,4,TYPE_3
V005_CARRIER,PORT05,PORT09,100,249.99,CRF,181.16,1.06,SEA,4,TYPE_3
V005_CARRIER,PORT05,PORT09,250,499.99,CRF,181.16,2.35,SEA,4,TYPE_3
V005_CARRIER,PORT05,PORT09,500,1999.99,CRF,181.16,1.64,SEA,4,TYPE_3
V005_CARRIER,PORT05,PORT09,2000,99999.99,CRF,181.16,0.92,SEA,4,TYPE_3
V005_CARRIER,PORT05,PORT09,0,99.99,DTP,200.24,2.12,SEA,14,TYPE_3
V005_CARRIER,PORT05,PORT09,100,249.99,DTP,200.24,1.57,SEA,14,TYPE_3
V005_CARRIER,PORT05,PORT09,250,499.99,DTP,200.24,0.73,SEA,14,TYPE_3
V005_CARRIER,PORT05,PORT09,500,1999.99,DTP,200.24,1.88,SEA,14,TYPE_3
V005_CARRIER,PORT05,PORT09,2000,99999.99,DTP,200.24,1.68,SEA,14,TYPE_3
V005_CARRIER,PORT05,PORT09,0,99.99,DTD,44.56,0.42,SEA,2,TYPE_3
V005_CARRIER,PORT05,PORT09,100,249.99,DTD,44.56,1.25,SEA,2,TYPE_3
V005_CARRIER,PORT05,PORT09,250,499.99,DTD,44.56,1.99,SEA,2,TYPE_3
V005_CARRIER,PORT05,PORT09,500,1999.99,DTD,44.56,2.36,SEA,2,TYPE_3
V005_CARRIER,PORT05,PORT09,2000,99999.99,DTD,44.56,1.25,SEA,2,TYPE_3
V005_CARRIER,PORT01,PORT09,0,99.99,DTD,249.82,0.92,SEA,0,TYPE_3
V005_CARRIER,PORT01,PORT09,100,249.99,DTD,249.82,0.67,SEA,0,TYPE_3
V005_CARRIER,PORT01,PORT09,250,499.99,DTD,249.82,1.7,SEA,0,TYPE_3
V005_CARRIER,PORT01,PORT09,500,1999.99,DTD,249.82,0.46,SEA,0,TYPE_3
V005_CARRIER,PORT01,PORT09,2000,99999.99,DTD,249.82,2.15,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,0,99.99,DTD,29.82,0.59,SEA,6,TYPE_3
V005_CARRIER,PORT04,PORT09,100,249.99,DTD,29.82,1.42,SEA,6,TYPE_3
V005_CARRIER,PORT04,PORT09,250,499.99,DTD,29.82,1.23,SEA,6,TYPE_3
V005_CARRIER,PORT04,PORT09,500,1999.99,DTD,29.82,2.48,SEA,6,TYPE_3
V005_CARRIER,PORT04,PORT09,2000,99999.99,DTD,29.82,1.97,SEA,6,TYPE_3
V005_CARRIER,PORT04,PORT09,0,99.99,CRF,192.87,1.41,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,100,249.99,CRF,192.87,2.24,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,250,499.99,CRF,192.87,2.14,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,500,1999.99,CRF,192.87,2.19,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,2000,99999.99,CRF,192.87,1.52,SEA,0,TYPE_3
V005_CARRIER,PORT04,PORT09,0,99.99,DTP,177.04,2.32,SEA,1,TYPE_3
V005_CARRIER,PORT04,PORT09,100,249.99,DTP,177.04,1.11,SEA,1,TYPE_3
V005_CARRIER,PORT04,PORT09,250,499.99,DTP,177.04,1.16,SEA,1,TYPE_3
V005_CARRIER,PORT04,PORT09,500,1999.99,DTP,177.04,2.11,SEA,1,TYPE_3
V005_CARRIER,PORT04,PORT09,2000,99999.99,DTP,177.04,0.3,SEA,1,TYPE_3
V006_CARRIER,PORT09,PORT09,0,99.99,CRF,217.91,2.28,AIR,1,TYPE_0
V006_CARRIER,PORT09,PORT09,100,249.99,CRF,217.91,0.42,AIR,1,TYPE_0
V006_CARRIER,PORT09,PORT09,250,499.99,CRF,217.91,0.75,AIR,1,TYPE_0
V006_CARRIER,PORT09,PORT09,500,1999.99,CRF,217.91,1.12,AIR,1,TYPE_0
V006_CARRIER,PORT09,PORT09,2000,99999.99,CRF,217.91,1.28,AIR,1,TYPE_0
V006_CARRIER,PORT02,PORT09,0,99.99,DTD,205.06,0.33,AIR,5,TYPE_0
V006_CARRIER,PORT02,PORT09,100,249.99,DTD,205.06,0.53,AIR,5,TYPE_0
V006_CARRIER,PORT02,PORT09,250,499.99,DTD,205.06,2.43,AIR,5,TYPE_0
V006_CARRIER,PORT02,PORT09,500,1999.99,DTD,205.06,1.93,AIR,5,TYPE_0
V006_CARRIER,PORT02,PORT09,2000,99999.99,DTD,205.06,0.05,AIR,5,TYPE_0
V006_CARRIER,PORT02,PORT09,0,99.99,CRF,86.32,1.28,AIR,14,TYPE_0
V006_CARRIER,PORT02,PORT09,100,249.99,CRF,86.32,0.24,AIR,14,TYPE_0
V006_CARRIER,PORT02,PORT09,250,499.99,CRF,86.32,0.95,AIR,14,TYPE_0
V006_CARRIER,PORT02,PORT09,500,1999.99,CRF,86.32,1.89,AIR,14,TYPE_0
V006_CARRIER,PORT02,PORT09,2000,99999.99,CRF,86.32,0.92,AIR,14,TYPE_0
V006_CARRIER,PORT02,PORT09,0,99.99,DTP,39.18,1.89,AIR,3,TYPE_0
V006_CARRIER,PORT02,PORT09,100,249.99,DTP,39.18,1.07,AIR,3,TYPE_0
V006_CARRIER,PORT02,PORT09,250,499.99,DTP,39.18,0.59,AIR,3,TYPE_0
V006_CARRIER,PORT02,PORT09,500,1999.99,DTP,39.18,2.01,AIR,3,TYPE_0
V006_CARRIER,PORT02,PORT09,2000,99999.99,DTP,39.18,1.05,AIR,3,TYPE_0
V007_CARRIER,PORT01,PORT09,0,99.99,CRF,22.57,0.81,GROUND,1,TYPE_3
V007_CARRIER,PORT01,PORT09,100,249.99,CRF,22.57,2.46,GROUND,1,TYPE_3
V007_CARRIER,PORT01,PORT09,250,499.99,CRF,22.57,0.44,GROUND,1,TYPE_3
V007_CARRIER,PORT01,PORT09,500,1999.99,CRF,22.57,0.18,GROUND,1,TYPE_3
V007_CARRIER,PORT01,PORT09,2000,99999.99,CRF,22.57,1.91,GROUND,1,TYPE_3
V007_CARRIER,PORT08,PORT09,0,99.99,CRF,105.7,2.22,GROUND,4,TYPE_3
V007_CARRIER,PORT08,PORT09,100,249.99,CRF,105.7,1.76,GROUND,4,TYPE_3
V007_CARRIER,PORT08,PORT09,250,499.99,CRF,105.7,2.19,GROUND,4,TYPE_3
V007_CARRIER,PORT08,PORT09,500,1999.99,CRF,105.7,1.81,GROUND,4,TYPE_3
V007_CARRIER,PORT08,PORT09,2000,99999.99,CRF,105.7,0.8,GROUND,4,TYPE_3
V007_CARRIER,PORT08,PORT09,0,99.99,DTD,3.46,0.72,GROUND,5,TYPE_3
V007_CARRIER,PORT08,PORT09,100,249.99,DTD,3.46,1.33,GROUND,5,TYPE_3
V007_CARRIER,PORT08,PORT09,250,499.99,DTD,3.46,2.3,GROUND,5,TYPE_3
V007_CARRIER,PORT08,PORT09,500,1999.99,DTD,3.46,1.76,GROUND,5,TYPE_3
V007_CARRIER,PORT08,PORT09,2000,99999.99,DTD,3.46,1.13,GROUND,5,TYPE_3
V007_CARRIER,PORT08,PORT09,0,99.99,DTP,222.06,1.57,GROUND,3,TYPE_3
V007_CARRIER,PORT08,PORT09,100,249.99,DTP,222.06,1.56,GROUND,3,TYPE_3
V007_CARRIER,PORT08,PORT09,250,499.99,DTP,222.06,1.12,GROUND,3,TYPE_3
V007_CARRIER,PORT08,PORT09,500,1999.99,DTP,222.06,0.88,GROUND,3,TYPE_3
V007_CARRIER,PORT08,PORT09,2000,99999.99,DTP,222.06,2.04,GROUND,3,TYPE_3
V007_CARRIER,PORT03,PORT09,0,99.99,DTP,10.69,0.86,GROUND,1,TYPE_3
V007_CARRIER,PORT03,PORT09,100,249.99,DTP,10.69,1.82,GROUND,1,TYPE_3
V007_CARRIER,PORT03,PORT09,250,499.99,DTP,10.69,1.86,GROUND,1,TYPE_3
V007_CARRIER,PORT03,PORT09,500,1999.99,DTP,10.69,0.34,GROUND,1,TYPE_3
V007_CARRIER,PORT03,PORT09,2000,99999.99,DTP,10.69,2.48,GROUND,1,TYPE_3
