carrier,month,on_time_pct,avg_transit_days,damage_rate_pct,cost_per_kg,total_shipments,total_weight_kg,avg_cost_per_shipment,complaints
V007_CARRIER,2023-03,79.4,4.9,3.08,0.081,1542,39851.3,416.56,36
V007_CARRIER,2023-04,96.4,10.6,1.02,2.031,3989,479296.6,432.6,18
V007_CARRIER,2023-05,80.3,13.4,0.7,2.098,1045,478375.0,495.76,5
V007_CARRIER,2023-06,80.2,1.4,0.98,0.597,649,372843.2,348.76,12
V007_CARRIER,2023-07,87.5,13.7,1.98,0.052,1547,484628.1,458.64,43
V007_CARRIER,2023-08,85.1,4.0,3.14,2.37,282,191761.6,189.71,10
V007_CARRIER,2023-09,70.6,4.2,1.77,1.971,578,157538.4,203.8,49
V007_CARRIER,2023-10,76.2,12.4,0.6,1.65,2115,296799.8,254.79,16
V007_CARRIER,2023-11,75.7,4.6,1.57,0.162,598,272314.7,449.21,4
V007_CARRIER,2023-12,81.5,12.9,0.7,0.405,106,452813.0,255.12,26
V007_CARRIER,2024-01,97.0,13.0,2.33,1.221,4517,6251.2,306.46,30
V007_CARRIER,2024-02,71.2,5.3,1.06,1.705,3253,120001.3,56.78,33
V007_CARRIER,2024-03,84.0,13.1,2.41,1.242,2201,294056.2,75.49,32
V007_CARRIER,2024-04,70.6,7.8,2.61,2.045,3920,458226.3,164.07,1
V007_CARRIER,2024-05,95.0,3.0,2.21,2.201,4939,150109.3,107.44,8
V007_CARRIER,2024-06,87.0,6.7,2.28,1.16,1149,77583.5,361.13,40
V007_CARRIER,2024-07,92.3,12.2,0.33,2.472,922,98073.9,191.87,33
V007_CARRIER,2024-08,72.3,7.8,2.59,0.814,1137,267409.8,50.62,15
V007_CARRIER,2024-09,91.4,13.8,1.93,1.63,1666,125154.2,469.31,8
V007_CARRIER,2024-10,96.7,12.4,1.3,2.48,677,179734.9,36.75,13
V007_CARRIER,2024-11,89.1,11.3,1.85,1.396,4018,2651.7,282.74,25
V007_CARRIER,2024-12,95.7,14.0,0.58,2.081,1276,452608.1,398.7,22
V008_CARRIER,2022-01,86.3,2.1,0.25,1.257,3000,431593.0,454.87,39
V008_CARRIER,2022-02,89.4,12.4,0.17,0.614,528,401276.3,67.65,30
V008_CARRIER,2022-03,73.9,3.3,1.5,1.282,163,252332.7,233.67,8
V008_CARRIER,2022-04,70.8,4.5,1.4,2.115,3826,352424.3,343.3,31
V008_CARRIER,2022-05,86.1,11.4,0.18,0.171,1533,12270.8,65.82,28
V008_CARRIER,2022-06,73.3,8.9,1.62,2.108,4845,85734.2,263.17,6
V008_CARRIER,2022-07,77.7,2.7,1.99,2.26,4572,344137.3,281.57,8
V008_CARRIER,2022-08,76.9,11.6,2.98,1.671,4934,384934.1,83.84,13
V008_CARRIER,2022-09,72.2,1.5,3.34,0.581,3501,460688.5,34.91,9
V008_CARRIER,2022-10,78.2,7.1,1.98,1.245,2438,59119.1,68.78,34
V008_CARRIER,2022-11,79.0,3.2,2.25,1.17,2223,394958.6,303.21,23
V008_CARRIER,2022-12,97.4,4.5,0.41,1.214,288,17540.2,381.32,24
V008_CARRIER,2023-01,97.0,9.3,2.52,1.852,2957,420237.9,424.36,10
V008_CARRIER,2023-02,96.3,7.8,2.52,0.728,3140,122597.8,438.23,32
V008_CARRIER,2023-03,76.0,6.2,1.94,0.874,450,38567.3,338.49,47
V008_CARRIER,2023-04,76.4,1.6,2.7,0.353,4373,50386.8,438.53,21
V008_CARRIER,2023-05,81.4,6.1,1.45,0.06,3977,344633.2,450.8,44
V008_CARRIER,2023-06,71.0,10.7,2.09,2.058,4744,51410.4,148.19,49
V008_CARRIER,2023-07,85.8,6.6,1.62,1.223,4630,23378.8,390.36,50
V008_CARRIER,2023-08,80.8,1.4,1.41,2.275,4043,378031.9,386.41,34
V008_CARRIER,2023-09,97.1,12.5,1.94,2.224,755,417319.1,361.85,31
V008_CARRIER,2023-10,72.3,3.0,1.03,1.618,1958,346844.1,241.53,20
V008_CARRIER,2023-11,94.9,1.2,0.37,0.862,3261,186883.4,323.02,5
V008_CARRIER,2023-12,84.5,11.5,0.17,2.468,2078,11717.8,11.03,20
V008_CARRIER,2024-01,74.9,10.8,1.34,0.291,2714,349671.1,34.51,1
V008_CARRIER,2024-02,72.6,2.3,2.84,1.353,2730,112970.6,449.76,34
V008_CARRIER,2024-03,88.2,12.3,0.19,1.949,3682,79336.5,71.03,48
V008_CARRIER,2024-04,83.8,2.9,2.04,1.014,4185,426178.4,378.36,50
V008_CARRIER,2024-05,89.0,9.5,1.53,2.419,2723,72780.5,266.79,25
V008_CARRIER,2024-06,81.0,3.1,1.72,1.899,2052,179260.6,403.91,23
V008_CARRIER,2024-07,80.3,12.4,1.28,2.194,1109,57443.8,247.97,21
V008_CARRIER,2024-08,84.9,4.7,2.44,1.515,2547,443842.0,132.38,39
V008_CARRIER,2024-09,76.0,8.6,3.04,2.058,2065,442737.8,12.99,11
V008_CARRIER,2024-10,85.1,13.9,2.03,0.505,1347,288114.4,370.51,5
V008_CARRIER,2024-11,92.5,5.3,2.64,0.867,2879,335949.9,164.54,5
V008_CARRIER,2024-12,77.6,2.6,0.91,0.626,4867,164924.3,367.49,49
V009_CARRIER,2022-01,78.9,9.4,3.43,0.627,1461,370081.7,481.95,38
V009_CARRIER,2022-02,70.2,11.5,1.16,1.377,2681,4171.1,407.79,48
V009_CARRIER,2022-03,83.1,9.0,2.82,0.279,1236,105494.2,79.22,22
V009_CARRIER,2022-04,71.4,4.6,1.52,2.102,2931,298201.8,263.82,45
V009_CARRIER,2022-05,88.3,10.8,1.45,1.705,1855,325808.1,43.16,18
V009_CARRIER,2022-06,96.2,13.5,2.16,2.475,3074,124481.6,103.85,11
V009_CARRIER,2022-07,90.5,9.1,2.28,1.072,4620,74877.6,263.68,34
V009_CARRIER,2022-08,77.8,13.1,2.85,0.263,4192,452666.8,288.53,24
V009_CARRIER,2022-09,83.8,7.1,2.66,1.853,3182,291655.5,366.64,4
V009_CARRIER,2022-10,70.8,9.3,2.05,2.287,574,415612.8,86.89,46
V009_CARRIER,2022-11,70.2,9.7,1.02,2.428,4286,174975.2,172.2,25
V009_CARRIER,2022-12,84.9,5.0,1.96,0.156,2143,289733.1,351.29,15
V009_CARRIER,2023-01,91.7,7.1,2.65,0.996,1489,237928.1,231.07,30
V009_CARRIER,2023-02,75.2,11.6,0.31,0.138,1017,249653.3,62.13,35
V009_CARRIER,2023-03,92.2,7.8,1.81,1.989,1571,32365.5,13.67,3
V009_CARRIER,2023-04,78.6,13.6,1.04,1.665,3766,447032.4,475.23,37
V009_CARRIER,2023-05,71.5,5.8,1.18,0.635,3995,465958.9,136.84,33
V009_CARRIER,2023-06,70.5,5.3,3.13,0.722,777,106092.7,40.54,9
V009_CARRIER,2023-07,80.7,7.4,0.35,2.234,4213,45172.6,462.84,26
V009_CARRIER,2023-08,92.6,12.1,3.24,0.554,763,184330.8,308.94,7
V009_CARRIER,2023-09,89.0,2.7,1.28,2.489,1024,453146.8,415.5,5
V009_CARRIER,2023-10,97.8,4.1,0.39,0.747,4477,280665.1,197.83,4
V009_CARRIER,2023-11,81.1,13.3,1.41,1.513,1829,99664.9,409.72,35
V009_CARRIER,2023-12,89.2,4.9,1.04,0.733,4571,126111.9,209.92,46
V009_CARRIER,2024-01,76.2,11.6,1.86,1.862,2014,126923.1,98.2,16
V009_CARRIER,2024-02,82.8,5.4,1.97,2.222,2792,69545.6,410.32,47
V009_CARRIER,2024-03,78.6,11.8,3.06,1.198,951,268469.5,428.37,48
V009_CARRIER,2024-04,97.3,8.2,2.46,1.857,3951,405973.7,43.54,40
