Order_ID,Order_Date,Origin_Port,Carrier,TPT,Service_Level,Ship_Ahead_Days,Ship_Late_Days,Customer,Product_ID,Plant_Code,Destination_Port,Unit_Quantity,Weight_KG
ORD1400014.6,2023-04-07,PORT02,V006_CARRIER,9,CRF,0,1,CUST_0151,PROD_1700858,PLANT03,PORT09,10172,4970.49
ORD1400015.5,2024-03-11,PORT06,V007_CARRIER,1,EXW,5,4,CUST_0049,PROD_1700780,PLANT01,PORT09,29691,9497.04
ORD1400016.4,2022-07-10,PORT06,V010_CARRIER,2,CRF,3,0,CUST_0126,PROD_1700351,PLANT19,PORT09,25389,3621.11
ORD1400017.2,2023-08-20,PORT06,V006_CARRIER,2,CRF,5,3,CUST_0133,PROD_1701350,PLANT13,PORT09,25731,2042.03
ORD1400018.8,2022-09-22,PORT07,V007_CARRIER,13,DTP,3,2,CUST_0053,PROD_1701098,PLANT09,PORT09,28424,11629.12
ORD1400019.7,2022-11-22,PORT01,V009_CARRIER,4,EXW,3,0,CUST_0184,PROD_1701236,PLANT07,PORT09,9451,2111.54
ORD1400020.5,2023-05-21,PORT04,V010_CARRIER,4,CRF,7,2,CUST_0011,PROD_1701076,PLANT18,PORT09,45995,19385.84
ORD1400021.2,2024-03-11,PORT06,V015_CARRIER,7,EXW,6,5,CUST_0159,PROD_1701255,PLANT13,PORT09,12122,4237.4
ORD1400022.4,2024-03-16,PORT02,V015_CARRIER,10,DTD,1,5,CUST_0161,PROD_1701430,PLANT14,PORT09,47714,17247.77
ORD1400023.1,2024-10-07,PORT02,V013_CARRIER,6,DTD,7,1,CUST_0027,PROD_1700842,PLANT15,PORT09,16665,1741.14
ORD1400024.3,2024-08-04,PORT02,V012_CARRIER,6,DTP,0,0,CUST_0103,PROD_1700054,PLANT03,PORT09,16523,962.08
ORD1400025.3,2023-11-01,PORT08,V002_CARRIER,11,DTP,7,1,CUST_0141,PROD_1701372,PLANT17,PORT09,30953,12702.89
ORD1400026.3,2022-12-16,PORT03,V002_CARRIER,2,EXW,1,5,CUST_0137,PROD_1701717,PLANT15,PORT09,834,282.74
ORD1400027.2,2024-06-21,PORT07,V015_CARRIER,7,DTP,0,5,CUST_0173,PROD_1700733,PLANT11,PORT09,34367,11027.17
ORD1400028.4,2024-03-10,PORT07,V001_CARRIER,12,EXW,3,1,CUST_0198,PROD_1701413,PLANT11,PORT09,24652,11203.58
ORD1400029.1,2022-07-07,PORT02,V014_CARRIER,3,CRF,1,5,CUST_0050,PROD_1700032,PLANT02,PORT09,11102,4022.05
ORD1400030.6,2024-05-01,PORT05,V010_CARRIER,6,EXW,1,1,CUST_0054,PROD_1701049,PLANT12,PORT09,14110,759.64
ORD1400031.2,2022-12-22,PORT07,V004_CARRIER,1,DTP,4,5,CUST_0118,PROD_1700030,PLANT19,PORT09,40988,7587.74
ORD1400032.7,2023-03-24,PORT07,V009_CARRIER,4,DTP,1,4,CUST_0146,PROD_1700841,PLANT08,PORT09,21356,10479.96
ORD1400033.4,2022-09-30,PORT06,V002_CARRIER,9,CRF,7,3,CUST_0086,PROD_1700680,PLANT08,PORT09,33590,10770.81
ORD1400034.6,2024-10-28,PORT02,V005_CARRIER,12,EXW,3,4,CUST_0061,PROD_1701203,PLANT14,PORT09,5302,163.84
ORD1400035.6,2024-10-18,PORT05,V011_CARRIER,14,DTP,7,5,CUST_0010,PROD_1700607,PLANT16,PORT09,21641,1471.57
ORD1400036.4,2022-03-23,PORT02,V004_CARRIER,5,DTD,3,1,CUST_0188,PROD_1701066,PLANT18,PORT09,35444,991.83
ORD1400037.3,2023-04-01,PORT05,V008_CARRIER,1,CRF,7,0,CUST_0162,PROD_1701245,PLANT12,PORT09,12713,343.27
ORD1400038.3,2023-02-23,PORT04,V014_CARRIER,8,DTP,1,3,CUST_0053,PROD_1700257,PLANT09,PORT09,47612,11144.54
ORD1400039.6,2023-02-09,PORT04,V005_CARRIER,10,EXW,3,2,CUST_0074,PROD_1700501,PLANT02,PORT09,31634,1294.72
ORD1400040.7,2024-03-26,PORT06,V009_CARRIER,12,EXW,2,3,CUST_0157,PROD_1700773,PLANT08,PORT09,1398,532.92
ORD1400041.8,2022-06-20,PORT06,V003_CARRIER,7,EXW,4,3,CUST_0066,PROD_1701554,PLANT19,PORT09,18661,3511.97
ORD1400042.7,2022-05-28,PORT02,V003_CARRIER,0,CRF,5,3,CUST_0049,PROD_1700682,PLANT01,PORT09,26612,12319.22
ORD1400043.7,2024-02-04,PORT06,V002_CARRIER,14,CRF,1,3,CUST_0105,PROD_1700786,PLANT19,PORT09,37167,3048.39
ORD1400044.1,2023-06-07,PORT02,V012_CARRIER,14,EXW,6,5,CUST_0015,PROD_1701579,PLANT03,PORT09,16273,1984.23
ORD1400045.3,2024-01-11,PORT02,V005_CARRIER,10,EXW,2,2,CUST_0155,PROD_1701292,PLANT14,PORT09,16314,4918.22
ORD1400046.5,2022-01-26,PORT01,V007_CARRIER,8,CRF,3,3,CUST_0181,PROD_1700239,PLANT07,PORT09,10967,4551.8
ORD1400047.7,2023-09-11,PORT06,V012_CARRIER,1,CRF,5,1,CUST_0106,PROD_1701025,PLANT08,PORT09,17730,6641.95
ORD1400048.3,2023-09-23,PORT06,V002_CARRIER,8,EXW,6,5,CUST_0199,PROD_1700013,PLANT20,PORT09,18996,6967.51
ORD1400049.3,2022-12-28,PORT02,V003_CARRIER,7,CRF,3,1,CUST_0129,PROD_1700767,PLANT14,PORT09,13268,403.77
ORD1400050.2,2023-01-28,PORT04,V014_CARRIER,1,DTP,4,0,CUST_0163,PROD_1700531,PLANT02,PORT09,24854,1571.17
ORD1400051.1,2023-12-02,PORT07,V011_CARRIER,0,CRF,0,2,CUST_0195,PROD_1700060,PLANT19,PORT09,49369,23581.18
ORD1400052.6,2022-07-18,PORT03,V015_CARRIER,12,EXW,5,4,CUST_0125,PROD_1700432,PLANT15,PORT09,28244,4771.5
ORD1400053.7,2023-10-08,PORT02,V007_CARRIER,5,CRF,5,0,CUST_0157,PROD_1701672,PLANT02,PORT09,302,69.16
ORD1400054.8,2022-10-12,PORT07,V012_CARRIER,5,DTP,7,4,CUST_0193,PROD_1700052,PLANT11,PORT09,45069,14862.82
ORD1400055.4,2024-11-20,PORT01,V001_CARRIER,13,DTD,0,5,CUST_0163,PROD_1700846,PLANT07,PORT09,21433,7271.93
ORD1400056.3,2024-09-19,PORT07,V015_CARRIER,11,CRF,6,2,CUST_0122,PROD_1700819,PLANT11,PORT09,39891,3923.02
ORD1400057.8,2024-12-01,PORT07,V013_CARRIER,13,DTD,7,1,CUST_0023,PROD_1701794,PLANT16,PORT09,29347,14015.26
ORD1400058.5,2023-05-09,PORT01,V002_CARRIER,11,EXW,0,1,CUST_0028,PROD_1700498,PLANT10,PORT09,21497,9704.21
ORD1400059.2,2023-03-28,PORT07,V011_CARRIER,1,EXW,5,1,CUST_0035,PROD_1701472,PLANT11,PORT09,37846,14510.25
ORD1400060.4,2023-12-04,PORT05,V005_CARRIER,1,DTD,1,0,CUST_0030,PROD_1700772,PLANT10,PORT09,22397,8299.21
ORD1400061.7,2022-08-26,PORT08,V010_CARRIER,4,CRF,0,4,CUST_0189,PROD_1701173,PLANT17,PORT09,35201,3370.11
ORD1400062.6,2024-05-17,PORT01,V010_CARRIER,1,DTP,6,0,CUST_0152,PROD_1700654,PLANT18,PORT09,35377,15082.23
ORD1400063.2,2022-10-24,PORT02,V003_CARRIER,2,DTD,0,4,CUST_0154,PROD_1701671,PLANT02,PORT09,21080,3270.28
ORD1400064.4,2023-07-15,PORT04,V008_CARRIER,0,EXW,5,1,CUST_0075,PROD_1701736,PLANT02,PORT09,47073,4994.25
ORD1400065.6,2022-04-18,PORT06,V005_CARRIER,0,DTP,6,2,CUST_0169,PROD_1701890,PLANT08,PORT09,27784,9426.32
ORD1400066.1,2024-03-12,PORT05,V005_CARRIER,11,DTP,6,0,CUST_0179,PROD_1700800,PLANT20,PORT09,8678,1409.18
ORD1400067.2,2023-09-15,PORT02,V005_CARRIER,3,DTP,3,5,CUST_0038,PROD_1700937,PLANT14,PORT09,42779,237.73
ORD1400068.7,2022-10-30,PORT08,V006_CARRIER,0,DTP,1,4,CUST_0122,PROD_1700771,PLANT17,PORT09,42704,7255.6
ORD1400069.2,2022-11-01,PORT02,V004_CARRIER,4,EXW,2,5,CUST_0102,PROD_1701284,PLANT18,PORT09,48937,9215.35
ORD1400070.9,2024-08-07,PORT02,V006_CARRIER,1,CRF,1,0,CUST_0003,PROD_1701771,PLANT14,PORT09,32161,10325.72
ORD1400071.3,2023-04-06,PORT01,V012_CARRIER,6,DTP,7,5,CUST_0025,PROD_1700047,PLANT18,PORT09,46154,10033.63
ORD1400072.3,2022-07-23,PORT06,V007_CARRIER,1,EXW,1,1,CUST_0143,PROD_1700666,PLANT13,PORT09,43260,19419.57
ORD1400073.1,2023-01-04,PORT04,V001_CARRIER,10,DTP,2,0,CUST_0033,PROD_1700010,PLANT02,PORT09,36963,4772.79
ORD1400074.5,2022-06-23,PORT06,V007_CARRIER,3,CRF,4,0,CUST_0169,PROD_1700255,PLANT13,PORT09,34142,15446.02
ORD1400075.4,2024-12-29,PORT02,V009_CARRIER,11,DTP,1,5,CUST_0091,PROD_1700911,PLANT02,PORT09,3031,361.64
ORD1400076.7,2022-10-18,PORT05,V010_CARRIER,2,DTD,6,0,CUST_0092,PROD_1700613,PLANT16,PORT09,36134,4633.42
ORD1400077.6,2022-12-01,PORT07,V012_CARRIER,1,DTP,4,5,CUST_0037,PROD_1700819,PLANT11,PORT09,45765,14788.5
ORD1400078.2,2024-11-13,PORT04,V013_CARRIER,0,EXW,3,0,CUST_0112,PROD_1701238,PLANT06,PORT09,17802,1124.84
ORD1400079.4,2024-04-13,PORT05,V013_CARRIER,13,DTP,3,2,CUST_0070,PROD_1700135,PLANT04,PORT09,746,37.21
ORD1400080.9,2024-02-15,PORT01,V010_CARRIER,8,CRF,5,5,CUST_0126,PROD_1701949,PLANT07,PORT09,37596,16272.82
ORD1400081.1,2023-07-10,PORT04,V013_CARRIER,5,DTP,6,3,CUST_0100,PROD_1701244,PLANT18,PORT09,38917,2516.32
ORD1400082.7,2024-11-17,PORT06,V007_CARRIER,0,DTD,5,5,CUST_0146,PROD_1701460,PLANT13,PORT09,16425,5575.13
ORD1400083.2,2024-07-26,PORT02,V005_CARRIER,4,DTP,1,2,CUST_0110,PROD_1700374,PLANT02,PORT09,26741,10309.15
ORD1400084.3,2022-06-12,PORT07,V001_CARRIER,8,DTD,7,0,CUST_0022,PROD_1700157,PLANT08,PORT09,27886,9448.88
ORD1400085.4,2024-09-09,PORT02,V010_CARRIER,11,CRF,6,5,CUST_0049,PROD_1701019,PLANT04,PORT09,35117,13171.84
ORD1400086.1,2024-12-17,PORT07,V003_CARRIER,2,DTP,1,2,CUST_0173,PROD_1701400,PLANT11,PORT09,8837,2274.01
ORD1400087.5,2024-05-15,PORT02,V006_CARRIER,13,DTP,1,2,CUST_0174,PROD_1701014,PLANT18,PORT09,19706,4770.41
ORD1400088.1,2023-03-13,PORT06,V015_CARRIER,14,CRF,7,4,CUST_0165,PROD_1700004,PLANT08,PORT09,32099,953.05
ORD1400089.4,2024-07-31,PORT05,V006_CARRIER,6,DTP,5,0,CUST_0185,PROD_1700672,PLANT19,PORT09,6741,1455.86
ORD1400090.5,2022-06-23,PORT02,V015_CARRIER,2,CRF,4,1,CUST_0125,PROD_1701083,PLANT18,PORT09,30947,6136.3
ORD1400091.4,2024-01-17,PORT06,V011_CARRIER,2,DTP,5,5,CUST_0113,PROD_1700877,PLANT08,PORT09,28540,111.29
ORD1400092.8,2022-08-15,PORT06,V007_CARRIER,14,DTD,0,1,CUST_0191,PROD_1700388,PLANT08,PORT09,43760,4389.0
ORD1400093.7,2023-06-29,PORT07,V013_CARRIER,5,DTP,6,4,CUST_0175,PROD_1700243,PLANT19,PORT09,47678,22020.42
ORD1400094.7,2022-09-27,PORT07,V006_CARRIER,12,CRF,3,0,CUST_0129,PROD_1700224,PLANT11,PORT09,44553,18493.42
ORD1400095.5,2022-01-17,PORT07,V002_CARRIER,3,EXW,2,5,CUST_0195,PROD_1700889,PLANT19,PORT09,33604,3166.95
ORD1400096.3,2022-08-24,PORT07,V004_CARRIER,11,CRF,2,1,CUST_0122,PROD_1701769,PLANT11,PORT09,38844,12229.06
ORD1400097.9,2023-04-15,PORT02,V004_CARRIER,0,EXW,3,0,CUST_0038,PROD_1700246,PLANT02,PORT09,3439,656.15
ORD1400098.5,2023-09-20,PORT05,V008_CARRIER,10,EXW,0,2,CUST_0016,PROD_1701433,PLANT20,PORT09,7312,989.71
ORD1400099.2,2023-12-20,PORT05,V003_CARRIER,0,CRF,5,1,CUST_0011,PROD_1701457,PLANT16,PORT09,18798,4446.8
ORD1400100.3,2024-06-01,PORT08,V005_CARRIER,10,CRF,0,5,CUST_0029,PROD_1700378,PLANT17,PORT09,36260,13976.83
ORD1400101.2,2023-11-10,PORT07,V004_CARRIER,1,EXW,1,1,CUST_0150,PROD_1700738,PLANT16,PORT09,41358,15366.61
ORD1400102.4,2022-03-26,PORT01,V015_CARRIER,8,CRF,5,2,CUST_0026,PROD_1701201,PLANT07,PORT09,47636,11319.51
ORD1400103.2,2024-12-28,PORT06,V007_CARRIER,14,DTD,5,2,CUST_0141,PROD_1701476,PLANT20,PORT09,29491,9298.58
ORD1400104.1,2024-06-12,PORT07,V003_CARRIER,11,DTD,2,2,CUST_0154,PROD_1700138,PLANT11,PORT09,3078,1471.12
ORD1400105.7,2023-01-25,PORT01,V014_CARRIER,2,CRF,7,4,CUST_0132,PROD_1701516,PLANT18,PORT09,25275,7119.63
ORD1400106.9,2024-03-31,PORT02,V003_CARRIER,9,DTP,0,4,CUST_0147,PROD_1701243,PLANT03,PORT09,29947,7558.77
ORD1400107.3,2023-06-15,PORT07,V009_CARRIER,3,DTP,0,4,CUST_0031,PROD_1700621,PLANT16,PORT09,15711,2303.7
ORD1400108.6,2023-07-23,PORT04,V004_CARRIER,0,CRF,5,5,CUST_0054,PROD_1701899,PLANT04,PORT09,39759,19328.32
ORD1400109.4,2022-06-20,PORT02,V007_CARRIER,5,DTD,0,5,CUST_0157,PROD_1701938,PLANT04,PORT09,782,322.3
ORD1400110.9,2023-07-27,PORT04,V014_CARRIER,11,CRF,6,5,CUST_0200,PROD_1700361,PLANT09,PORT09,16965,7382.2
ORD1400111.6,2023-02-27,PORT02,V004_CARRIER,2,EXW,7,1,CUST_0149,PROD_1701672,PLANT02,PORT09,47928,17417.84
ORD1400112.1,2022-10-31,PORT05,V008_CARRIER,3,DTP,7,5,CUST_0048,PROD_1701847,PLANT19,PORT09,11923,3864.66
ORD1400113.2,2023-09-28,PORT02,V002_CARRIER,6,CRF,3,3,CUST_0037,PROD_1700333,PLANT15,PORT09,42378,20562.75
ORD1400114.5,2024-12-14,PORT01,V001_CARRIER,12,CRF,0,1,CUST_0029,PROD_1700281,PLANT01,PORT09,16375,6309.1
ORD1400115.8,2022-10-20,PORT06,V009_CARRIER,13,DTD,1,1,CUST_0189,PROD_1701922,PLANT20,PORT09,9224,2220.51
ORD1400116.5,2022-12-01,PORT02,V001_CARRIER,10,DTD,1,0,CUST_0140,PROD_1700629,PLANT18,PORT09,3018,157.86
ORD1400117.7,2022-07-30,PORT07,V001_CARRIER,6,EXW,2,2,CUST_0059,PROD_1701047,PLANT11,PORT09,43049,6204.92
ORD1400118.2,2022-08-19,PORT02,V005_CARRIER,9,CRF,5,0,CUST_0092,PROD_1701007,PLANT14,PORT09,23725,10954.7
ORD1400119.5,2022-03-30,PORT02,V006_CARRIER,10,DTP,6,1,CUST_0154,PROD_1701238,PLANT20,PORT09,43830,15072.84
ORD1400120.3,2023-12-15,PORT02,V015_CARRIER,12,CRF,0,1,CUST_0068,PROD_1701792,PLANT03,PORT09,43082,3194.44
ORD1400121.6,2024-03-10,PORT02,V012_CARRIER,1,DTP,5,1,CUST_0072,PROD_1700914,PLANT14,PORT09,12019,4615.3
ORD1400122.9,2023-10-16,PORT02,V010_CARRIER,2,DTD,3,3,CUST_0163,PROD_1701012,PLANT12,PORT09,27537,7575.99
ORD1400123.1,2024-12-29,PORT01,V010_CARRIER,8,EXW,3,5,CUST_0184,PROD_1701008,PLANT07,PORT09,5818,688.63
ORD1400124.3,2023-02-21,PORT02,V003_CARRIER,14,CRF,5,2,CUST_0029,PROD_1701742,PLANT02,PORT09,9232,1366.83
ORD1400125.2,2024-05-12,PORT04,V002_CARRIER,6,DTP,0,5,CUST_0179,PROD_1700496,PLANT06,PORT09,27933,5208.68
ORD1400126.7,2022-06-01,PORT01,V006_CARRIER,3,CRF,1,0,CUST_0037,PROD_1700976,PLANT07,PORT09,37401,15547.71
ORD1400127.1,2022-11-03,PORT02,V012_CARRIER,7,DTD,6,5,CUST_0136,PROD_1701567,PLANT01,PORT09,22207,4942.01
ORD1400128.8,2023-08-11,PORT04,V010_CARRIER,8,DTP,2,0,CUST_0193,PROD_1700227,PLANT08,PORT09,26077,10861.26
ORD1400129.1,2023-06-13,PORT05,V007_CARRIER,1,DTD,6,1,CUST_0041,PROD_1701882,PLANT16,PORT09,48802,5208.16
ORD1400130.7,2023-03-25,PORT02,V008_CARRIER,13,EXW,6,1,CUST_0081,PROD_1700803,PLANT02,PORT09,3682,1479.67
ORD1400131.2,2023-02-03,PORT01,V010_CARRIER,0,DTD,3,2,CUST_0200,PROD_1700552,PLANT05,PORT09,10766,2920.2
ORD1400132.8,2023-03-10,PORT01,V011_CARRIER,4,DTP,1,4,CUST_0009,PROD_1701222,PLANT05,PORT09,37114,868.19
ORD1400133.6,2022-04-04,PORT04,V006_CARRIER,6,DTD,3,2,CUST_0193,PROD_1700098,PLANT06,PORT09,49372,9673.46
ORD1400134.1,2022-09-23,PORT06,V009_CARRIER,0,DTP,6,3,CUST_0026,PROD_1701439,PLANT01,PORT09,38527,16741.42
ORD1400135.3,2023-08-18,PORT01,V002_CARRIER,14,DTP,3,5,CUST_0184,PROD_1700330,PLANT10,PORT09,42974,3063.64
ORD1400136.7,2024-10-24,PORT02,V006_CARRIER,9,DTD,6,0,CUST_0075,PROD_1701057,PLANT15,PORT09,46811,18130.52
ORD1400137.8,2023-05-05,PORT02,V002_CARRIER,12,DTP,4,4,CUST_0004,PROD_1700427,PLANT12,PORT09,5812,1452.75
ORD1400138.5,2023-10-05,PORT07,V010_CARRIER,1,DTD,1,1,CUST_0094,PROD_1700347,PLANT10,PORT09,46673,18025.03
ORD1400139.3,2024-08-27,PORT07,V008_CARRIER,13,DTD,4,3,CUST_0011,PROD_1700524,PLANT08,PORT09,26906,11533.08
ORD1400140.1,2024-06-21,PORT02,V002_CARRIER,8,EXW,7,2,CUST_0175,PROD_1700751,PLANT12,PORT09,44831,999.51
ORD1400141.8,2023-05-17,PORT06,V005_CARRIER,9,DTP,6,0,CUST_0097,PROD_1701433,PLANT20,PORT09,14717,2865.74
ORD1400142.6,2022-07-11,PORT04,V002_CARRIER,11,DTP,1,3,CUST_0022,PROD_1700714,PLANT06,PORT09,28484,2863.67
ORD1400143.8,2022-05-13,PORT06,V012_CARRIER,1,EXW,4,3,CUST_0190,PROD_1700649,PLANT20,PORT09,2608,711.97
ORD1400144.4,2022-10-26,PORT01,V010_CARRIER,0,EXW,5,3,CUST_0199,PROD_1701311,PLANT05,PORT09,31125,3345.84
ORD1400145.8,2022-02-16,PORT01,V003_CARRIER,1,DTP,4,3,CUST_0022,PROD_1701951,PLANT10,PORT09,5454,817.39
ORD1400146.7,2024-05-09,PORT01,V002_CARRIER,12,DTD,4,1,CUST_0110,PROD_1701074,PLANT05,PORT09,13115,2298.91
ORD1400147.3,2024-09-13,PORT07,V006_CARRIER,13,EXW,0,4,CUST_0178,PROD_1700973,PLANT16,PORT09,39233,3926.49
ORD1400148.9,2023-10-26,PORT05,V015_CARRIER,13,EXW,5,0,CUST_0038,PROD_1701360,PLANT20,PORT09,44267,9021.04
ORD1400149.3,2022-01-08,PORT04,V010_CARRIER,3,CRF,3,3,CUST_0025,PROD_1700922,PLANT09,PORT09,45742,12510.3
ORD1400150.8,2024-02-13,PORT05,V006_CARRIER,4,CRF,4,4,CUST_0094,PROD_1700442,PLANT12,PORT09,8275,2895.91
ORD1400151.9,2024-04-27,PORT04,V009_CARRIER,1,DTD,2,3,CUST_0196,PROD_1700840,PLANT06,PORT09,28174,5273.82
ORD1400152.7,2022-11-30,PORT07,V011_CARRIER,1,CRF,1,0,CUST_0073,PROD_1701111,PLANT11,PORT09,42673,392.46
ORD1400153.8,2022-08-01,PORT05,V009_CARRIER,10,CRF,4,3,CUST_0149,PROD_1701016,PLANT04,PORT09,13985,1569.35
ORD1400154.9,2024-02-20,PORT01,V013_CARRIER,14,EXW,6,0,CUST_0119,PROD_1700234,PLANT05,PORT09,24652,9646.72
ORD1400155.9,2023-08-04,PORT02,V001_CARRIER,0,CRF,0,1,CUST_0107,PROD_1700548,PLANT15,PORT09,24637,10360.94
ORD1400156.7,2023-10-13,PORT01,V004_CARRIER,13,EXW,0,4,CUST_0158,PROD_1700686,PLANT05,PORT09,28221,1843.01
ORD1400157.5,2022-12-22,PORT02,V002_CARRIER,8,DTP,1,5,CUST_0182,PROD_1700825,PLANT15,PORT09,37909,14873.84
ORD1400158.2,2022-11-22,PORT02,V001_CARRIER,10,CRF,2,0,CUST_0112,PROD_1701942,PLANT03,PORT09,40607,14378.14
ORD1400159.4,2024-02-23,PORT01,V013_CARRIER,3,DTP,3,2,CUST_0092,PROD_1700051,PLANT10,PORT09,12802,3433.15
ORD1400160.2,2024-02-14,PORT02,V002_CARRIER,10,CRF,1,0,CUST_0037,PROD_1701577,PLANT09,PORT09,30189,13997.8
ORD1400161.1,2022-08-08,PORT07,V002_CARRIER,14,DTD,3,3,CUST_0127,PROD_1700290,PLANT11,PORT09,6697,1647.65
ORD1400162.3,2024-04-27,PORT02,V007_CARRIER,12,EXW,2,1,CUST_0081,PROD_1700150,PLANT03,PORT09,19679,119.25
ORD1400163.9,2022-03-06,PORT07,V010_CARRIER,2,CRF,4,0,CUST_0140,PROD_1700240,PLANT08,PORT09,12738,3865.34
ORD1400164.3,2022-02-17,PORT02,V002_CARRIER,5,CRF,2,1,CUST_0056,PROD_1701060,PLANT02,PORT09,5568,2027.55
ORD1400165.4,2023-07-03,PORT07,V012_CARRIER,7,DTD,7,3,CUST_0142,PROD_1700560,PLANT19,PORT09,33697,15946.31
ORD1400166.8,2023-05-28,PORT07,V010_CARRIER,2,DTD,3,5,CUST_0197,PROD_1700354,PLANT11,PORT09,32070,6968.89
ORD1400167.8,2024-05-17,PORT02,V010_CARRIER,3,EXW,5,2,CUST_0099,PROD_1701221,PLANT14,PORT09,41564,17035.07
ORD1400168.7,2022-12-09,PORT01,V005_CARRIER,6,DTD,0,0,CUST_0155,PROD_1701821,PLANT01,PORT09,11890,4812.02
ORD1400169.1,2023-01-16,PORT01,V006_CARRIER,12,DTP,5,0,CUST_0096,PROD_1700732,PLANT18,PORT09,731,116.94
ORD1400170.5,2023-11-05,PORT04,V002_CARRIER,9,DTD,3,4,CUST_0099,PROD_1700437,PLANT09,PORT09,14351,751.38
ORD1400171.7,2022-06-03,PORT07,V004_CARRIER,12,CRF,7,3,CUST_0051,PROD_1701175,PLANT16,PORT09,3166,1567.61
ORD1400172.1,2022-09-02,PORT06,V010_CARRIER,9,DTP,0,2,CUST_0099,PROD_1700254,PLANT13,PORT09,1268,408.54
ORD1400173.5,2024-08-03,PORT04,V006_CARRIER,1,CRF,7,0,CUST_0166,PROD_1700582,PLANT02,PORT09,27302,9880.69
ORD1400174.8,2023-10-12,PORT04,V013_CARRIER,9,EXW,0,3,CUST_0081,PROD_1701543,PLANT04,PORT09,19658,6851.44
ORD1400175.7,2024-10-07,PORT02,V001_CARRIER,13,CRF,0,1,CUST_0058,PROD_1701738,PLANT14,PORT09,6990,3472.47
ORD1400176.5,2023-04-09,PORT08,V014_CARRIER,14,CRF,0,2,CUST_0138,PROD_1700348,PLANT17,PORT09,2923,164.54
ORD1400177.7,2022-06-03,PORT07,V015_CARRIER,1,EXW,2,2,CUST_0036,PROD_1700540,PLANT11,PORT09,9799,3691.91
ORD1400178.5,2024-07-04,PORT04,V010_CARRIER,4,EXW,5,5,CUST_0123,PROD_1701368,PLANT02,PORT09,31734,3607.82
ORD1400179.1,2023-08-30,PORT05,V011_CARRIER,11,DTP,1,0,CUST_0166,PROD_1701456,PLANT10,PORT09,32514,1010.31
ORD1400180.9,2023-03-19,PORT06,V006_CARRIER,12,DTD,4,5,CUST_0054,PROD_1700958,PLANT13,PORT09,29854,9791.79
ORD1400181.3,2022-08-05,PORT05,V008_CARRIER,12,DTP,6,1,CUST_0159,PROD_1701872,PLANT04,PORT09,4598,642.07
ORD1400182.8,2023-09-22,PORT05,V008_CARRIER,3,CRF,0,3,CUST_0028,PROD_1701948,PLANT16,PORT09,12357,1657.22
ORD1400183.1,2024-12-23,PORT06,V006_CARRIER,2,DTP,6,4,CUST_0111,PROD_1700927,PLANT13,PORT09,28336,7210.25
ORD1400184.5,2024-06-22,PORT04,V007_CARRIER,3,EXW,4,1,CUST_0188,PROD_1700558,PLANT04,PORT09,26490,2361.48
ORD1400185.5,2024-12-20,PORT01,V001_CARRIER,1,DTP,3,0,CUST_0166,PROD_1701244,PLANT18,PORT09,3582,1603.43
ORD1400186.5,2023-05-04,PORT02,V015_CARRIER,6,EXW,6,0,CUST_0159,PROD_1700134,PLANT03,PORT09,14510,5328.48
