route_id,plant_code,date,picker_id,aisles_visited,num_stops,total_distance_m,total_time_min,items_picked,order_count,start_aisle,algorithm_used,optimized
ROUTE_000023,PLANT15,2023-03-07,PICKER_040,"[1, 2, 3, 5, 8, 13, 16, 20, 21]",9,226.6,5.23,14,3,1,MANUAL,0
ROUTE_000024,PLANT03,2023-08-18,PICKER_036,"[3, 5, 7, 9, 10, 11]",6,100.33,4.41,27,6,1,DIJKSTRA,1
ROUTE_000025,PLANT19,2024-12-19,PICKER_050,"[3, 9, 22, 23]",4,75.25,2.39,47,8,1,GREEDY,1
ROUTE_000026,PLANT09,2024-08-31,PICKER_001,"[1, 2, 3, 5, 7, 10]",6,96.3,4.37,34,7,1,GREEDY,0
ROUTE_000027,PLANT13,2024-03-27,PICKER_015,"[5, 6, 7, 8]",4,87.18,3.81,5,4,1,ASTAR,0
ROUTE_000028,PLANT12,2023-02-11,PICKER_003,"[1, 8, 9, 12, 13, 15]",6,125.24,5.34,39,4,1,MANUAL,0
ROUTE_000029,PLANT05,2024-03-02,PICKER_050,"[1, 2, 3, 4, 6, 7, 8, 9]",8,175.02,4.13,34,8,1,ASTAR,0
ROUTE_000030,PLANT14,2024-07-21,PICKER_041,"[5, 7, 12, 14, 19, 22, 28]",7,106.59,3.81,76,1,1,MANUAL,1
ROUTE_000031,PLANT03,2023-07-10,PICKER_048,"[1, 3, 6, 8, 9, 10, 11]",7,139.87,4.51,35,10,1,DIJKSTRA,1
ROUTE_000032,PLANT05,2024-03-31,PICKER_030,"[6, 7]",2,36.31,2.73,31,7,1,ASTAR,1
ROUTE_000033,PLANT02,2023-06-03,PICKER_043,"[1, 2, 3, 5, 6]",5,98.11,4.29,70,4,1,MANUAL,0
ROUTE_000034,PLANT03,2024-09-11,PICKER_046,"[4, 10]",2,24.17,1.48,44,9,1,GREEDY,1
ROUTE_000035,PLANT16,2023-10-07,PICKER_030,"[5, 7, 9, 11, 13, 14]",6,120.49,4.78,26,3,1,DIJKSTRA,1
ROUTE_000036,PLANT02,2024-12-10,PICKER_022,"[1, 2, 4]",3,41.18,1.83,62,10,1,DIJKSTRA,0
ROUTE_000037,PLANT03,2024-09-13,PICKER_009,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",9,157.16,5.73,10,4,1,MANUAL,0
ROUTE_000038,PLANT20,2023-02-08,PICKER_043,"[2, 4, 6, 7]",4,59.48,2.62,18,2,1,ASTAR,1
ROUTE_000039,PLANT10,2024-10-11,PICKER_045,"[6, 7, 8, 9, 12, 14]",6,87.12,4.51,43,8,1,MANUAL,1
ROUTE_000040,PLANT15,2023-11-01,PICKER_013,"[1, 2, 7, 8, 9, 18, 19, 24]",8,159.59,3.74,45,5,1,GREEDY,0
ROUTE_000041,PLANT15,2023-06-28,PICKER_008,"[5, 10, 11, 13, 17, 18, 21]",7,123.44,4.87,76,2,1,MANUAL,1
ROUTE_000042,PLANT17,2023-07-09,PICKER_028,"[6, 9, 10, 13, 14, 17, 23, 24]",8,153.79,3.82,23,9,1,ASTAR,1
ROUTE_000043,PLANT05,2024-07-29,PICKER_029,"[3, 6, 9]",3,52.97,3.8,50,6,1,MANUAL,0
ROUTE_000044,PLANT01,2023-12-27,PICKER_004,"[1, 3, 5, 6, 14, 23, 24]",7,104.69,4.27,75,3,1,ASTAR,0
ROUTE_000045,PLANT06,2023-02-25,PICKER_044,"[2, 5, 6, 14, 15, 18, 20, 21, 26]",9,181.1,4.51,58,7,1,MANUAL,0
ROUTE_000046,PLANT03,2023-06-28,PICKER_015,"[2, 3, 6, 8, 10]",5,75.43,2.49,31,3,1,DIJKSTRA,0
ROUTE_000047,PLANT09,2023-07-23,PICKER_032,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,206.62,5.77,58,3,1,MANUAL,0
ROUTE_000048,PLANT02,2024-07-01,PICKER_033,"[1, 2, 3, 4, 5, 6]",6,128.98,3.79,34,6,1,DIJKSTRA,0
ROUTE_000049,PLANT18,2024-05-17,PICKER_048,"[2, 3, 10, 15]",4,82.44,2.63,6,3,1,DIJKSTRA,1
ROUTE_000050,PLANT18,2024-06-29,PICKER_027,"[1, 2, 3, 4, 5, 6, 9, 10, 15, 16]",10,162.34,5.18,64,5,1,DIJKSTRA,1
ROUTE_000051,PLANT10,2023-02-18,PICKER_041,"[10, 11, 19]",3,75.96,3.47,77,8,1,GREEDY,1
ROUTE_000052,PLANT17,2024-02-13,PICKER_021,"[3, 5, 7, 8, 24]",5,55.65,3.87,44,7,1,DIJKSTRA,1
ROUTE_000053,PLANT18,2024-03-25,PICKER_042,"[1, 2, 5, 8, 11, 15]",6,123.53,3.2,32,9,1,ASTAR,0
ROUTE_000054,PLANT14,2024-02-15,PICKER_044,"[13, 23]",2,37.71,1.38,40,8,1,DIJKSTRA,0
ROUTE_000055,PLANT03,2023-09-09,PICKER_018,"[2, 10]",2,16.59,2.57,74,3,1,MANUAL,1
ROUTE_000056,PLANT15,2024-08-05,PICKER_030,"[3, 12, 22]",3,63.13,4.1,30,2,1,ASTAR,0
ROUTE_000057,PLANT17,2023-04-27,PICKER_002,"[2, 4, 8, 9, 10, 17, 18, 23, 24]",9,158.02,5.4,73,2,1,DIJKSTRA,1
ROUTE_000058,PLANT08,2024-11-01,PICKER_027,"[1, 2, 5, 21, 23, 26, 27]",7,131.24,5.45,14,7,1,MANUAL,0
ROUTE_000059,PLANT09,2024-03-01,PICKER_019,"[3, 4, 6]",3,56.9,1.67,7,10,1,DIJKSTRA,1
ROUTE_000060,PLANT18,2023-09-23,PICKER_034,"[5, 8]",2,33.58,3.06,19,7,1,ASTAR,0
ROUTE_000061,PLANT14,2024-05-11,PICKER_048,"[10, 11, 12, 13, 14, 18, 19, 20, 21, 27]",10,225.66,6.55,42,2,1,ASTAR,1
ROUTE_000062,PLANT16,2023-05-07,PICKER_035,"[3, 6, 13]",3,29.9,3.4,43,3,1,ASTAR,0
ROUTE_000063,PLANT11,2023-09-07,PICKER_016,"[3, 4, 5]",3,38.73,1.47,65,3,1,DIJKSTRA,1
ROUTE_000064,PLANT06,2023-02-05,PICKER_031,"[4, 7, 11, 14, 20]",5,84.01,3.35,7,4,1,MANUAL,0
ROUTE_000065,PLANT13,2023-05-06,PICKER_001,"[1, 2, 4, 5, 6, 7, 9, 10]",8,177.63,4.17,30,10,1,MANUAL,1
ROUTE_000066,PLANT20,2024-04-21,PICKER_028,"[4, 7]",2,47.46,1.69,77,2,1,GREEDY,1
ROUTE_000067,PLANT05,2023-08-02,PICKER_014,"[1, 2, 3, 5, 7, 9]",6,125.59,5.47,5,9,1,GREEDY,0
ROUTE_000068,PLANT08,2023-08-28,PICKER_032,"[3, 16, 18, 22, 27]",5,79.35,3.98,78,6,1,DIJKSTRA,0
ROUTE_000069,PLANT20,2023-11-21,PICKER_017,"[1, 2, 3, 4, 5]",5,107.8,4.93,43,9,1,MANUAL,1
ROUTE_000070,PLANT06,2024-03-22,PICKER_001,"[2, 7, 10, 12, 18, 20, 21, 23, 24]",9,164.06,3.87,58,3,1,DIJKSTRA,1
ROUTE_000071,PLANT11,2023-06-19,PICKER_042,"[1, 2, 3, 4, 5]",5,82.73,3.5,23,3,1,GREEDY,1
ROUTE_000072,PLANT11,2024-06-24,PICKER_025,"[3, 4, 5]",3,47.12,3.49,50,10,1,DIJKSTRA,0
ROUTE_000073,PLANT05,2024-08-10,PICKER_024,"[1, 3, 4, 5, 7, 8, 9]",7,132.24,5.48,34,1,1,DIJKSTRA,0
ROUTE_000074,PLANT15,2024-12-16,PICKER_046,"[1, 2, 3, 7, 9, 10, 19, 23]",8,159.63,4.55,78,3,1,ASTAR,0
ROUTE_000075,PLANT20,2024-05-14,PICKER_045,"[1, 2, 3, 4, 5, 6, 7]",7,103.04,4.91,43,2,1,ASTAR,1
ROUTE_000076,PLANT05,2024-08-18,PICKER_002,"[1, 2, 3, 5, 8, 9]",6,86.09,4.63,21,5,1,DIJKSTRA,1
ROUTE_000077,PLANT02,2024-04-18,PICKER_011,"[2, 5]",2,24.55,2.55,46,7,1,GREEDY,1
ROUTE_000078,PLANT20,2024-08-09,PICKER_049,"[1, 2, 3, 4, 5, 6, 7]",7,143.41,4.43,62,8,1,MANUAL,0
ROUTE_000079,PLANT16,2024-07-31,PICKER_016,"[2, 4, 14, 15, 16]",5,78.29,3.45,30,4,1,ASTAR,1
ROUTE_000080,PLANT17,2024-05-17,PICKER_002,"[5, 10, 11, 12, 13, 16, 20, 21, 22, 24]",10,204.08,5.27,21,5,1,MANUAL,0
ROUTE_000081,PLANT19,2024-10-28,PICKER_036,"[4, 6, 11, 12, 14, 15, 21]",7,87.84,4.0,72,5,1,MANUAL,0
ROUTE_000082,PLANT11,2024-12-22,PICKER_009,"[1, 2, 3, 4]",4,67.59,3.87,54,4,1,ASTAR,0
ROUTE_000083,PLANT13,2023-01-22,PICKER_019,"[1, 2, 3, 5, 7, 8, 9, 10]",8,157.77,4.48,55,7,1,MANUAL,0
ROUTE_000084,PLANT15,2024-05-01,PICKER_024,"[2, 4, 6, 12, 13, 16, 17, 22, 23, 25]",10,224.82,5.68,63,10,1,ASTAR,0
ROUTE_000085,PLANT19,2024-04-28,PICKER_033,"[1, 11]",2,34.25,2.65,35,3,1,ASTAR,0
ROUTE_000086,PLANT02,2024-07-30,PICKER_032,"[1, 6]",2,37.25,1.85,72,4,1,GREEDY,0
ROUTE_000087,PLANT13,2023-09-03,PICKER_027,"[2, 5, 7]",3,33.35,3.09,41,1,1,GREEDY,0
ROUTE_000088,PLANT09,2023-06-30,PICKER_010,"[2, 3, 6, 8]",4,80.65,4.43,61,3,1,MANUAL,1
ROUTE_000089,PLANT18,2023-04-24,PICKER_015,"[6, 7, 8, 9, 11, 13, 14, 15]",8,118.04,2.99,9,10,1,GREEDY,0
ROUTE_000090,PLANT16,2024-05-28,PICKER_035,"[2, 6, 7, 9, 10, 11, 12, 14]",8,136.28,4.37,6,3,1,DIJKSTRA,0
ROUTE_000091,PLANT13,2024-11-12,PICKER_028,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,147.85,4.19,41,10,1,ASTAR,1
ROUTE_000092,PLANT12,2023-03-10,PICKER_006,"[2, 5, 7, 8, 13, 14, 17, 20, 21, 23]",10,194.78,6.14,6,10,1,MANUAL,0
ROUTE_000093,PLANT12,2023-03-14,PICKER_017,"[4, 7, 8, 9, 15, 16, 17, 18, 20, 23]",10,184.58,4.48,40,3,1,MANUAL,1
ROUTE_000094,PLANT19,2024-04-13,PICKER_021,"[2, 5, 6, 18]",4,77.59,4.52,60,4,1,GREEDY,0
ROUTE_000095,PLANT07,2024-02-16,PICKER_037,"[1, 4, 5, 8, 9, 11]",6,88.63,3.51,52,2,1,MANUAL,1
ROUTE_000096,PLANT06,2024-08-13,PICKER_027,"[14, 20]",2,32.47,2.0,26,9,1,ASTAR,0
ROUTE_000097,PLANT16,2024-09-20,PICKER_035,"[1, 2, 4, 5, 6, 8, 9, 11, 12, 15]",10,172.94,6.19,11,9,1,MANUAL,0
ROUTE_000098,PLANT20,2024-07-11,PICKER_006,"[2, 4]",2,34.14,1.53,18,9,1,MANUAL,1
ROUTE_000099,PLANT17,2023-09-04,PICKER_024,"[9, 10, 17]",3,51.46,3.71,28,5,1,MANUAL,1
ROUTE_000100,PLANT08,2023-03-31,PICKER_022,"[5, 9, 15, 17, 18, 19, 20, 21, 25, 28]",10,155.73,3.89,23,8,1,DIJKSTRA,0
ROUTE_000101,PLANT03,2024-03-09,PICKER_049,"[3, 4, 7, 8, 9, 10]",6,104.58,3.68,54,4,1,GREEDY,1
ROUTE_000102,PLANT06,2024-03-14,PICKER_036,"[1, 5, 8, 9, 10, 11, 23, 28]",8,140.9,4.8,46,6,1,MANUAL,0
ROUTE_000103,PLANT10,2024-07-13,PICKER_020,"[2, 5, 13, 15, 17, 21, 22, 24]",8,156.99,4.64,15,10,1,MANUAL,0
ROUTE_000104,PLANT02,2023-09-06,PICKER_018,"[1, 2, 3, 5, 6]",5,61.44,2.94,15,8,1,ASTAR,0
ROUTE_000105,PLANT08,2023-08-23,PICKER_002,"[1, 4, 5, 8, 14, 18, 26]",7,108.65,3.91,13,3,1,MANUAL,0
ROUTE_000106,PLANT09,2024-09-21,PICKER_011,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",9,184.16,6.51,41,1,1,GREEDY,0
ROUTE_000107,PLANT08,2024-04-23,PICKER_014,"[2, 7, 9, 14, 18, 19, 24]",7,158.05,4.55,11,4,1,DIJKSTRA,0
ROUTE_000108,PLANT06,2024-03-18,PICKER_032,"[1, 20, 22, 25]",4,72.29,3.42,50,1,1,DIJKSTRA,0
ROUTE_000109,PLANT04,2024-01-28,PICKER_029,"[1, 11, 15, 18, 19]",5,95.4,3.76,46,1,1,MANUAL,0
ROUTE_000110,PLANT06,2024-05-13,PICKER_048,"[6, 12, 16, 21, 25, 27, 28]",7,133.97,4.29,39,9,1,GREEDY,1
ROUTE_000111,PLANT12,2023-11-15,PICKER_025,"[1, 5, 8, 11, 13, 14, 23, 24]",8,99.14,3.06,35,9,1,GREEDY,0
ROUTE_000112,PLANT04,2024-12-24,PICKER_023,"[2, 6, 11]",3,51.69,2.91,19,2,1,ASTAR,1
ROUTE_000113,PLANT05,2024-10-09,PICKER_038,"[5, 6, 8, 9]",4,57.55,3.58,47,8,1,MANUAL,0
ROUTE_000114,PLANT10,2024-01-08,PICKER_020,"[2, 10, 11, 15, 16, 18, 19, 21, 23]",9,158.01,3.93,42,6,1,DIJKSTRA,0
ROUTE_000115,PLANT03,2024-06-20,PICKER_050,"[8, 11]",2,39.31,3.43,25,8,1,GREEDY,1
ROUTE_000116,PLANT01,2024-07-28,PICKER_044,"[2, 6, 7, 9, 13, 16, 18, 22, 26]",9,185.86,6.4,69,10,1,MANUAL,0
ROUTE_000117,PLANT02,2023-09-11,PICKER_019,"[1, 2, 3, 4, 5]",5,105.85,4.64,79,1,1,ASTAR,0
ROUTE_000118,PLANT13,2023-05-30,PICKER_037,"[1, 4, 6, 8, 10]",5,89.05,4.49,48,8,1,ASTAR,0
ROUTE_000119,PLANT15,2024-09-16,PICKER_029,"[15, 22]",2,17.35,3.19,20,2,1,ASTAR,0
ROUTE_000120,PLANT05,2023-06-22,PICKER_039,"[3, 4, 9]",3,49.95,2.5,17,10,1,MANUAL,1
ROUTE_000121,PLANT07,2023-03-22,PICKER_021,"[2, 3, 4, 6, 7, 8, 11, 12]",8,126.2,4.23,9,4,1,DIJKSTRA,0
ROUTE_000122,PLANT09,2023-12-29,PICKER_019,"[3, 9, 10]",3,42.01,2.11,32,6,1,DIJKSTRA,1
ROUTE_000123,PLANT07,2023-02-18,PICKER_025,"[1, 2, 3, 4, 5, 6, 9, 11, 12]",9,186.17,4.43,70,6,1,MANUAL,1
ROUTE_000124,PLANT11,2023-05-28,PICKER_033,"[1, 2, 3, 4, 5]",5,132.19,4.9,37,7,1,DIJKSTRA,1
ROUTE_000125,PLANT10,2023-11-07,PICKER_029,"[9, 12, 18]",3,40.79,1.85,27,7,1,MANUAL,0
ROUTE_000126,PLANT01,2023-05-31,PICKER_001,"[3, 4, 10, 11, 14, 19]",6,82.04,4.39,66,7,1,ASTAR,0
ROUTE_000127,PLANT16,2024-03-10,PICKER_028,"[1, 2, 3, 6, 7, 8, 9, 10, 14, 16]",10,224.53,7.23,9,10,1,GREEDY,0
ROUTE_000128,PLANT03,2024-11-24,PICKER_017,"[3, 4, 5, 6, 8, 9, 10, 11]",8,162.23,4.99,47,9,1,GREEDY,0
ROUTE_000129,PLANT02,2023-10-03,PICKER_020,"[1, 3, 4, 5, 6]",5,79.41,3.91,67,5,1,ASTAR,1
ROUTE_000130,PLANT08,2023-07-04,PICKER_044,"[21, 26, 27, 28]",4,80.59,3.44,26,3,1,ASTAR,1
ROUTE_000131,PLANT08,2023-04-03,PICKER_034,"[4, 6, 13, 14, 22, 29]",6,106.69,4.51,10,8,1,ASTAR,1
ROUTE_000132,PLANT13,2024-04-23,PICKER_039,"[1, 2, 3, 4, 5, 6, 8, 10]",8,135.11,3.32,78,3,1,GREEDY,0
ROUTE_000133,PLANT06,2024-11-15,PICKER_004,"[2, 3, 6, 17, 27]",5,113.08,4.97,62,9,1,MANUAL,0
ROUTE_000134,PLANT19,2024-10-30,PICKER_032,"[3, 4, 5, 9, 12, 14, 16]",7,94.15,2.91,72,8,1,ASTAR,0
ROUTE_000135,PLANT20,2023-06-11,PICKER_017,"[1, 2, 3, 4, 5, 6, 7]",7,138.01,4.45,71,8,1,MANUAL,0
ROUTE_000136,PLANT03,2023-01-27,PICKER_015,"[1, 3, 4, 7, 8, 9, 10, 11]",8,134.2,3.53,78,2,1,MANUAL,0
ROUTE_000137,PLANT04,2023-05-14,PICKER_021,"[8, 11, 14, 15, 17]",5,81.13,4.05,7,6,1,ASTAR,0
ROUTE_000138,PLANT02,2024-06-20,PICKER_043,"[1, 2, 3, 4, 5, 6]",6,100.92,3.74,28,4,1,ASTAR,0
ROUTE_000139,PLANT14,2023-09-18,PICKER_012,"[2, 6, 8, 11, 12, 19, 26, 29]",8,153.64,5.55,14,7,1,DIJKSTRA,1
ROUTE_000140,PLANT08,2024-11-12,PICKER_002,"[10, 23]",2,43.14,2.61,15,3,1,MANUAL,0
ROUTE_000141,PLANT11,2024-12-01,PICKER_023,"[1, 2, 3, 4, 5]",5,109.36,3.89,46,9,1,DIJKSTRA,0
ROUTE_000142,PLANT02,2024-02-05,PICKER_031,"[1, 2, 3, 5, 6]",5,79.1,2.57,6,4,1,MANUAL,0
ROUTE_000143,PLANT11,2023-05-17,PICKER_037,"[3, 4]",2,39.57,3.27,41,3,1,MANUAL,1
ROUTE_000144,PLANT17,2024-04-10,PICKER_015,"[2, 10, 16, 18, 19, 24]",6,108.46,4.79,33,7,1,ASTAR,0
ROUTE_000145,PLANT20,2023-06-03,PICKER_028,"[1, 3, 4, 6]",4,66.79,1.9,60,1,1,ASTAR,0
ROUTE_000146,PLANT17,2024-05-24,PICKER_002,"[2, 9, 12, 14, 15, 17, 18, 20, 21, 23]",10,156.7,4.63,30,4,1,DIJKSTRA,1
ROUTE_000147,PLANT08,2024-04-23,PICKER_045,"[7, 10, 18, 19, 20, 21, 24]",7,109.74,4.82,71,5,1,MANUAL,1
ROUTE_000148,PLANT01,2024-11-16,PICKER_010,"[2, 4, 6, 10, 15, 16, 18, 19, 24, 26]",10,160.2,5.26,40,8,1,DIJKSTRA,1
ROUTE_000149,PLANT02,2023-08-28,PICKER_013,"[2, 5]",2,39.57,3.34,79,10,1,MANUAL,1
ROUTE_000150,PLANT10,2023-09-01,PICKER_017,"[3, 4, 5, 6, 8, 13, 15, 21]",8,116.69,3.43,46,1,1,DIJKSTRA,1
ROUTE_000151,PLANT11,2023-12-13,PICKER_036,"[1, 2, 3, 5]",4,67.74,4.28,68,7,1,MANUAL,0
ROUTE_000152,PLANT15,2023-12-06,PICKER_017,"[6, 9, 12, 13, 20]",5,77.47,4.03,23,2,1,DIJKSTRA,1
ROUTE_000153,PLANT02,2023-11-09,PICKER_013,"[1, 2, 3, 4, 5, 6]",6,97.6,4.3,27,9,1,ASTAR,1
ROUTE_000154,PLANT19,2023-02-03,PICKER_012,"[1, 10, 11, 18, 20]",5,77.41,3.0,36,2,1,ASTAR,0
ROUTE_000155,PLANT19,2024-05-31,PICKER_003,"[5, 12, 16, 17]",4,53.22,1.86,37,6,1,DIJKSTRA,1
ROUTE_000156,PLANT18,2023-06-21,PICKER_028,"[5, 13]",2,48.14,2.53,30,3,1,ASTAR,1
ROUTE_000157,PLANT11,2023-08-02,PICKER_002,"[1, 4, 5]",3,44.5,3.11,13,3,1,DIJKSTRA,1
ROUTE_000158,PLANT07,2024-02-27,PICKER_018,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12]",10,161.49,4.76,41,3,1,DIJKSTRA,0
ROUTE_000159,PLANT15,2024-12-23,PICKER_041,"[11, 12, 13, 14, 16, 19, 21, 22]",8,109.61,4.06,77,8,1,GREEDY,1
ROUTE_000160,PLANT18,2023-07-04,PICKER_030,"[1, 2, 3, 5, 7]",5,80.88,2.5,65,10,1,MANUAL,1
ROUTE_000161,PLANT12,2024-08-14,PICKER_038,"[11, 15, 21, 24]",4,70.36,4.18,40,3,1,ASTAR,1
ROUTE_000162,PLANT10,2024-03-27,PICKER_006,"[5, 6, 9, 12, 13, 17, 21, 22, 24]",9,143.36,5.27,28,7,1,MANUAL,1
ROUTE_000163,PLANT03,2023-03-20,PICKER_047,"[1, 2, 3, 4, 6, 7, 9, 11]",8,111.42,2.94,44,2,1,GREEDY,0
ROUTE_000164,PLANT11,2024-08-20,PICKER_031,"[2, 3, 4, 5]",4,82.62,3.82,16,1,1,MANUAL,0
ROUTE_000165,PLANT13,2023-10-04,PICKER_037,"[1, 3]",2,53.53,3.62,15,2,1,MANUAL,1
ROUTE_000166,PLANT09,2024-04-16,PICKER_017,"[1, 2, 4, 7, 8, 9]",6,113.73,4.08,45,8,1,DIJKSTRA,1
ROUTE_000167,PLANT02,2023-06-19,PICKER_047,"[1, 2, 3, 6]",4,58.31,3.78,64,2,1,GREEDY,1
ROUTE_000168,PLANT15,2023-02-09,PICKER_041,"[11, 14, 19]",3,49.36,2.76,55,9,1,GREEDY,1
ROUTE_000169,PLANT05,2023-07-24,PICKER_011,"[3, 4, 5, 6, 7, 8, 9]",7,125.24,5.41,67,7,1,ASTAR,1
ROUTE_000170,PLANT03,2024-05-12,PICKER_046,"[7, 8]",2,50.27,2.62,51,3,1,GREEDY,0
ROUTE_000171,PLANT01,2023-07-15,PICKER_020,"[3, 7]",2,26.89,3.45,77,1,1,DIJKSTRA,0
ROUTE_000172,PLANT07,2023-01-29,PICKER_025,"[2, 5, 6, 8, 9, 12]",6,107.85,3.88,28,1,1,MANUAL,1
ROUTE_000173,PLANT13,2023-08-15,PICKER_018,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",9,159.01,5.36,12,7,1,ASTAR,1
ROUTE_000174,PLANT06,2023-12-10,PICKER_029,"[4, 6, 8, 10, 14, 15, 19, 20, 25, 27]",10,221.87,6.1,17,4,1,ASTAR,0
ROUTE_000175,PLANT11,2024-04-19,PICKER_016,"[1, 2, 3, 5]",4,77.21,2.5,75,3,1,DIJKSTRA,1
ROUTE_000176,PLANT17,2023-07-01,PICKER_002,"[4, 7, 10, 11, 12, 15, 16, 17, 20, 23]",10,168.19,4.29,53,1,1,MANUAL,1
ROUTE_000177,PLANT19,2024-03-28,PICKER_002,"[5, 6, 13, 19, 21, 22]",6,117.51,4.73,73,6,1,MANUAL,1
ROUTE_000178,PLANT01,2023-03-29,PICKER_007,"[4, 6, 15, 19, 20, 21]",6,98.71,3.85,42,7,1,MANUAL,0
ROUTE_000179,PLANT19,2023-12-02,PICKER_022,"[2, 7, 14, 17, 20, 22]",6,127.92,4.67,17,6,1,ASTAR,1
ROUTE_000180,PLANT20,2023-10-20,PICKER_032,"[1, 4, 7]",3,51.05,1.96,71,8,1,ASTAR,1
ROUTE_000181,PLANT01,2024-11-06,PICKER_011,"[1, 4, 8, 17, 18, 19, 20, 23, 25]",9,164.86,6.2,20,6,1,DIJKSTRA,0
ROUTE_000182,PLANT14,2024-11-25,PICKER_003,"[15, 16, 19, 24, 25]",5,61.87,2.13,70,3,1,GREEDY,0
ROUTE_000183,PLANT16,2024-08-14,PICKER_005,"[3, 6, 8, 10, 12, 15]",6,108.07,4.23,41,10,1,GREEDY,1
ROUTE_000184,PLANT06,2024-01-07,PICKER_009,"[1, 4, 7, 16, 17, 18, 27, 28]",8,120.14,4.5,12,4,1,GREEDY,1
ROUTE_000185,PLANT14,2024-04-04,PICKER_048,"[1, 2, 5, 9, 10, 17, 20, 22, 27, 28]",10,214.54,5.46,62,3,1,DIJKSTRA,0
ROUTE_000186,PLANT05,2023-11-13,PICKER_023,"[1, 2, 3, 5, 6]",5,68.63,2.41,53,6,1,MANUAL,0
ROUTE_000187,PLANT16,2024-11-17,PICKER_030,"[1, 2, 6, 8, 10, 11, 12, 15]",8,123.44,4.13,18,3,1,DIJKSTRA,1
ROUTE_000188,PLANT10,2023-01-10,PICKER_047,"[5, 8, 9, 10, 11, 12]",6,69.63,4.21,12,9,1,DIJKSTRA,0
