plant_code,aisle_number,zone,aisle_length_m,shelf_height_m,capacity_units,pick_frequency,distance_from_dock_m
PLANT04,1,Zone-C,27.2,4.1,1740,LOW,145.1
PLANT04,2,Zone-B,23.1,7.4,1664,MEDIUM,69.6
PLANT04,3,Zone-A,46.8,5.1,1651,MEDIUM,169.4
PLANT04,4,Zone-A,25.8,2.6,875,LOW,33.7
PLANT04,5,Zone-B,52.2,8.0,1528,LOW,185.7
PLANT04,6,Zone-B,42.3,3.5,1152,MEDIUM,160.1
PLANT04,7,Zone-C,15.0,6.6,1538,HIGH,120.8
PLANT04,8,Zone-A,22.4,3.2,1951,LOW,133.5
PLANT04,9,Zone-D,54.0,5.8,1534,HIGH,61.7
PLANT04,10,Zone-C,19.8,3.6,593,LOW,66.8
PLANT04,11,Zone-B,35.7,4.4,1369,HIGH,141.4
PLANT04,12,Zone-C,41.4,4.2,1438,HIGH,29.0
PLANT04,13,Zone-B,58.1,3.1,1467,LOW,114.2
PLANT04,14,Zone-A,48.2,4.4,1385,MEDIUM,153.4
PLANT04,15,Zone-B,45.1,6.6,276,LOW,46.8
PLANT04,16,Zone-C,25.6,3.4,1676,HIGH,25.3
PLANT04,17,Zone-D,19.6,4.5,1295,HIGH,71.2
PLANT04,18,Zone-D,50.9,3.4,508,MEDIUM,165.6
PLANT04,19,Zone-B,56.9,2.6,1741,HIGH,178.9
PLANT04,20,Zone-A,10.9,7.4,1562,HIGH,132.3
PLANT05,1,Zone-E,50.8,2.8,924,MEDIUM,12.5
PLANT05,2,Zone-E,59.4,3.2,1457,HIGH,21.3
PLANT05,3,Zone-A,20.3,7.8,1687,LOW,132.3
PLANT05,4,Zone-D,59.4,6.5,1611,HIGH,16.9
PLANT05,5,Zone-B,28.0,6.6,1423,LOW,12.6
PLANT05,6,Zone-C,39.6,5.0,1263,MEDIUM,192.5
PLANT05,7,Zone-A,34.7,2.5,1893,HIGH,185.5
PLANT05,8,Zone-A,53.0,7.6,431,MEDIUM,139.5
PLANT05,9,Zone-A,56.7,4.3,747,LOW,12.4
PLANT06,1,Zone-C,26.2,2.5,1904,MEDIUM,190.9
PLANT06,2,Zone-C,10.8,3.5,1558,HIGH,96.4
PLANT06,3,Zone-D,41.4,5.3,1896,MEDIUM,21.8
PLANT06,4,Zone-B,42.5,3.0,1782,LOW,142.4
PLANT06,5,Zone-B,39.7,4.4,1767,HIGH,41.3
PLANT06,6,Zone-E,37.3,4.6,1459,HIGH,99.5
PLANT06,7,Zone-C,13.7,3.0,1749,MEDIUM,144.6
PLANT06,8,Zone-B,52.9,3.7,1771,MEDIUM,85.1
PLANT06,9,Zone-C,41.2,4.1,1127,LOW,108.5
PLANT06,10,Zone-A,33.1,6.3,1886,LOW,186.9
PLANT06,11,Zone-A,40.2,5.4,1426,LOW,155.8
PLANT06,12,Zone-C,37.2,3.5,1007,MEDIUM,156.8
PLANT06,13,Zone-D,29.1,7.0,1446,MEDIUM,126.9
PLANT06,14,Zone-B,19.4,5.8,1582,HIGH,21.8
PLANT06,15,Zone-B,48.7,6.1,1095,MEDIUM,161.5
PLANT06,16,Zone-E,46.9,3.0,1545,MEDIUM,161.8
PLANT06,17,Zone-E,37.4,4.4,853,HIGH,106.8
PLANT06,18,Zone-B,53.7,7.8,1356,HIGH,164.2
PLANT06,19,Zone-A,44.3,2.6,1114,LOW,124.8
PLANT06,20,Zone-C,32.1,3.8,1685,HIGH,186.5
PLANT06,21,Zone-E,42.4,6.0,1218,MEDIUM,9.2
PLANT06,22,Zone-A,43.3,3.5,310,MEDIUM,119.4
PLANT06,23,Zone-D,25.3,3.0,1745,MEDIUM,50.1
PLANT06,24,Zone-A,19.5,3.2,440,HIGH,158.6
PLANT06,25,Zone-B,43.0,4.1,283,LOW,126.5
PLANT06,26,Zone-E,48.6,4.6,911,MEDIUM,157.4
PLANT06,27,Zone-C,55.6,2.6,1217,MEDIUM,117.6
PLANT06,28,Zone-C,34.7,7.6,721,MEDIUM,193.0
PLANT07,1,Zone-D,17.2,5.1,1248,HIGH,175.0
PLANT07,2,Zone-E,18.0,4.3,504,LOW,52.6
PLANT07,3,Zone-C,35.7,6.6,971,HIGH,76.7
PLANT07,4,Zone-D,35.4,3.1,1290,HIGH,72.6
PLANT07,5,Zone-D,38.8,3.2,1482,MEDIUM,113.6
PLANT07,6,Zone-C,54.1,3.4,923,LOW,123.4
PLANT07,7,Zone-B,58.5,6.2,991,MEDIUM,182.3
PLANT07,8,Zone-C,44.8,4.4,1309,LOW,14.2
PLANT07,9,Zone-B,41.3,5.8,798,LOW,119.3
PLANT07,10,Zone-E,53.3,5.1,1178,HIGH,31.1
PLANT07,11,Zone-C,32.8,3.4,1348,MEDIUM,172.1
PLANT07,12,Zone-D,44.3,7.9,1203,LOW,93.0
PLANT08,1,Zone-A,33.5,3.3,1823,MEDIUM,162.4
PLANT08,2,Zone-B,59.7,6.0,1034,HIGH,103.9
PLANT08,3,Zone-C,14.8,3.7,268,LOW,67.6
PLANT08,4,Zone-D,14.7,4.4,427,LOW,33.0
PLANT08,5,Zone-E,16.4,7.0,225,MEDIUM,185.7
PLANT08,6,Zone-B,38.0,3.7,639,MEDIUM,180.0
PLANT08,7,Zone-D,59.2,5.5,1228,LOW,22.4
PLANT08,8,Zone-D,50.9,6.8,1504,LOW,178.0
PLANT08,9,Zone-D,23.4,5.3,322,HIGH,16.6
PLANT08,10,Zone-E,12.7,3.8,387,HIGH,40.8
PLANT08,11,Zone-A,22.0,6.3,853,MEDIUM,52.5
PLANT08,12,Zone-A,12.5,6.8,622,HIGH,197.5
PLANT08,13,Zone-D,14.7,3.8,1200,HIGH,112.8
PLANT08,14,Zone-D,26.8,2.9,1001,HIGH,34.3
PLANT08,15,Zone-E,29.5,4.0,290,HIGH,87.3
PLANT08,16,Zone-D,30.2,4.6,1690,LOW,171.8
PLANT08,17,Zone-D,54.3,6.7,708,MEDIUM,83.1
PLANT08,18,Zone-A,19.9,7.3,1280,HIGH,117.1
PLANT08,19,Zone-E,36.9,4.4,726,HIGH,6.5
PLANT08,20,Zone-B,39.7,4.9,672,LOW,179.5
PLANT08,21,Zone-C,10.9,3.5,1039,MEDIUM,89.6
PLANT08,22,Zone-E,21.5,3.6,1596,MEDIUM,199.1
PLANT08,23,Zone-C,47.5,3.6,1882,HIGH,137.3
PLANT08,24,Zone-B,32.0,2.5,1651,HIGH,109.5
PLANT08,25,Zone-E,59.8,4.6,652,MEDIUM,61.6
PLANT08,26,Zone-B,33.0,6.2,1378,MEDIUM,19.3
PLANT08,27,Zone-E,29.3,7.5,1008,HIGH,55.0
PLANT08,28,Zone-D,30.2,4.8,338,HIGH,60.9
PLANT08,29,Zone-C,43.9,3.4,1115,HIGH,182.5
PLANT09,1,Zone-B,58.8,3.6,1324,HIGH,133.6
PLANT09,2,Zone-A,11.1,6.7,920,MEDIUM,189.2
PLANT09,3,Zone-B,56.7,5.6,1966,HIGH,114.1
PLANT09,4,Zone-B,56.7,3.0,533,LOW,32.2
PLANT09,5,Zone-B,48.8,4.9,1030,LOW,5.1
PLANT09,6,Zone-C,58.0,5.6,308,LOW,163.6
PLANT09,7,Zone-B,51.2,4.4,1440,LOW,30.2
PLANT09,8,Zone-A,36.7,4.5,279,MEDIUM,148.6
PLANT09,9,Zone-B,28.4,2.6,661,MEDIUM,184.9
PLANT09,10,Zone-D,24.7,2.7,956,HIGH,193.0
PLANT10,1,Zone-C,43.7,4.0,1415,LOW,89.7
PLANT10,2,Zone-C,23.5,7.7,941,LOW,133.7
PLANT10,3,Zone-D,55.0,2.6,1379,HIGH,109.8
PLANT10,4,Zone-B,28.2,4.4,1339,HIGH,32.8
PLANT10,5,Zone-D,33.1,3.1,1618,MEDIUM,76.3
PLANT10,6,Zone-E,20.5,3.3,1483,HIGH,114.7
PLANT10,7,Zone-E,42.2,6.8,416,MEDIUM,194.7
PLANT10,8,Zone-A,34.8,3.2,395,MEDIUM,134.0
PLANT10,9,Zone-A,30.8,5.6,1431,MEDIUM,11.2
PLANT10,10,Zone-D,26.3,7.0,1732,MEDIUM,84.2
PLANT10,11,Zone-A,49.4,2.8,451,MEDIUM,78.6
PLANT10,12,Zone-B,17.8,6.6,264,HIGH,184.6
PLANT10,13,Zone-E,38.7,7.4,1879,HIGH,120.1
PLANT10,14,Zone-A,19.1,4.6,650,MEDIUM,69.8
PLANT10,15,Zone-E,53.1,3.0,1395,LOW,133.9
PLANT10,16,Zone-E,57.2,5.4,308,LOW,32.8
PLANT10,17,Zone-C,12.6,6.5,1890,MEDIUM,102.7
PLANT10,18,Zone-B,19.0,4.6,1679,MEDIUM,136.4
PLANT10,19,Zone-A,14.0,7.4,1713,LOW,42.9
PLANT10,20,Zone-E,56.4,3.8,651,HIGH,102.1
PLANT10,21,Zone-E,51.0,3.2,1014,LOW,46.5
PLANT10,22,Zone-D,19.3,7.0,1035,HIGH,144.3
PLANT10,23,Zone-B,18.5,7.8,1786,LOW,103.3
PLANT10,24,Zone-E,32.7,7.5,567,MEDIUM,62.3
PLANT11,1,Zone-C,35.2,2.7,883,HIGH,132.8
PLANT11,2,Zone-D,51.8,6.7,1757,MEDIUM,88.1
PLANT11,3,Zone-E,48.6,7.3,1252,MEDIUM,172.2
PLANT11,4,Zone-D,57.4,6.8,1279,MEDIUM,168.8
PLANT11,5,Zone-B,13.5,7.4,655,HIGH,72.0
PLANT12,1,Zone-D,16.9,5.9,426,MEDIUM,136.6
PLANT12,2,Zone-E,51.6,3.6,1110,MEDIUM,130.1
PLANT12,3,Zone-C,30.1,5.3,1202,MEDIUM,113.0
PLANT12,4,Zone-B,52.0,5.8,356,LOW,29.2
PLANT12,5,Zone-D,11.8,6.3,1349,MEDIUM,189.0
PLANT12,6,Zone-C,55.5,6.2,1314,LOW,42.4
PLANT12,7,Zone-A,16.5,7.8,1903,HIGH,154.2
PLANT12,8,Zone-E,37.7,3.2,625,HIGH,162.7
PLANT12,9,Zone-C,21.8,6.6,1445,MEDIUM,182.4
PLANT12,10,Zone-D,23.0,7.2,353,LOW,169.6
PLANT12,11,Zone-D,32.6,5.5,720,HIGH,99.0
PLANT12,12,Zone-A,22.6,5.6,1609,HIGH,61.4
PLANT12,13,Zone-E,15.7,3.8,1632,HIGH,39.0
PLANT12,14,Zone-D,49.8,6.3,1559,HIGH,64.1
PLANT12,15,Zone-A,38.7,3.7,906,LOW,130.1
PLANT12,16,Zone-A,15.8,6.8,829,HIGH,119.3
PLANT12,17,Zone-A,48.2,6.8,702,LOW,171.1
PLANT12,18,Zone-E,56.0,7.7,251,LOW,96.3
PLANT12,19,Zone-E,55.1,5.7,1470,LOW,127.9
PLANT12,20,Zone-A,53.9,4.6,1881,LOW,98.1
PLANT12,21,Zone-B,41.2,5.1,1332,MEDIUM,21.3
PLANT12,22,Zone-B,45.4,7.2,1211,HIGH,31.1
PLANT12,23,Zone-E,41.0,4.2,709,LOW,103.2
PLANT12,24,Zone-E,12.6,3.8,536,HIGH,81.0
PLANT12,25,Zone-A,39.3,7.3,625,HIGH,174.8
PLANT13,1,Zone-A,31.0,6.7,1055,HIGH,125.6
PLANT13,2,Zone-D,44.9,4.1,819,MEDIUM,109.8
PLANT13,3,Zone-C,45.2,7.5,1132,HIGH,150.5
PLANT13,4,Zone-E,14.8,7.5,991,LOW,187.0
PLANT13,5,Zone-D,14.4,7.9,860,HIGH,46.5
PLANT13,6,Zone-A,50.0,5.0,940,LOW,87.6
PLANT13,7,Zone-C,42.4,5.4,1029,HIGH,25.6
PLANT13,8,Zone-B,42.1,6.5,1695,HIGH,131.1
PLANT13,9,Zone-C,29.6,3.7,1951,MEDIUM,20.8
PLANT13,10,Zone-C,13.7,5.8,1822,MEDIUM,8.4
PLANT14,1,Zone-C,47.8,5.3,683,HIGH,115.6
PLANT14,2,Zone-A,32.8,3.6,1823,MEDIUM,153.4
PLANT14,3,Zone-A,39.2,5.2,1701,MEDIUM,161.4
PLANT14,4,Zone-B,59.4,5.9,921,HIGH,62.2
PLANT14,5,Zone-C,42.9,4.8,743,HIGH,85.1
PLANT14,6,Zone-A,47.6,7.9,848,LOW,137.3
PLANT14,7,Zone-D,27.9,7.1,504,MEDIUM,143.1
PLANT14,8,Zone-B,42.4,2.5,1240,MEDIUM,134.1
PLANT14,9,Zone-A,20.5,5.6,1506,LOW,41.1
PLANT14,10,Zone-A,43.8,5.3,1600,HIGH,90.8
PLANT14,11,Zone-A,59.2,3.7,214,MEDIUM,90.4
PLANT14,12,Zone-E,38.6,7.3,445,LOW,188.4
PLANT14,13,Zone-A,25.3,5.8,1105,MEDIUM,164.0
PLANT14,14,Zone-E,53.3,5.9,838,LOW,160.5
PLANT14,15,Zone-B,49.6,5.0,495,LOW,152.0
PLANT14,16,Zone-B,41.1,5.9,963,LOW,82.0
PLANT14,17,Zone-D,28.8,3.6,302,MEDIUM,196.3
PLANT14,18,Zone-E,59.5,5.3,684,MEDIUM,75.5
PLANT14,19,Zone-D,56.3,6.9,388,LOW,52.7
PLANT14,20,Zone-D,24.3,6.3,1626,LOW,72.7
PLANT14,21,Zone-C,18.5,5.8,600,HIGH,18.2
PLANT14,22,Zone-E,42.5,7.1,1547,MEDIUM,128.1
PLANT14,23,Zone-E,33.7,2.5,322,LOW,142.2
PLANT14,24,Zone-C,10.5,4.8,1357,HIGH,91.5
PLANT14,25,Zone-C,40.3,4.2,984,HIGH,174.9
PLANT14,26,Zone-E,58.8,5.6,419,HIGH,194.2
PLANT14,27,Zone-E,23.0,3.9,272,HIGH,95.5
PLANT14,28,Zone-E,23.2,5.8,1349,MEDIUM,146.8
PLANT14,29,Zone-D,10.3,4.0,640,LOW,41.7
PLANT15,1,Zone-D,42.1,6.9,1140,LOW,109.4
PLANT15,2,Zone-B,52.7,6.8,1419,MEDIUM,194.1
PLANT15,3,Zone-C,27.3,7.5,240,LOW,135.8
PLANT15,4,Zone-D,24.7,6.2,683,LOW,177.4
PLANT15,5,Zone-A,39.1,4.1,315,HIGH,171.5
PLANT15,6,Zone-E,15.7,3.3,287,MEDIUM,159.6
PLANT15,7,Zone-E,18.1,7.8,653,HIGH,106.3
PLANT15,8,Zone-C,55.8,4.5,1130,MEDIUM,137.5
PLANT15,9,Zone-C,16.5,7.1,498,MEDIUM,53.3
PLANT15,10,Zone-D,32.0,3.6,1234,HIGH,189.7
PLANT15,11,Zone-A,45.5,7.7,1272,HIGH,180.3
PLANT15,12,Zone-B,41.7,7.5,272,MEDIUM,34.2
PLANT15,13,Zone-B,32.9,6.2,853,HIGH,13.5
PLANT15,14,Zone-B,47.9,6.6,995,LOW,91.0
PLANT15,15,Zone-A,55.4,6.0,361,LOW,35.4
PLANT15,16,Zone-B,11.0,2.9,1254,HIGH,72.0
PLANT15,17,Zone-D,40.6,6.4,1380,LOW,125.2
PLANT15,18,Zone-C,50.1,3.9,1688,MEDIUM,120.4
PLANT15,19,Zone-A,41.4,4.7,1861,MEDIUM,66.4
PLANT15,20,Zone-A,15.1,4.6,1893,HIGH,46.4
PLANT15,21,Zone-C,24.8,5.1,705,HIGH,129.7
PLANT15,22,Zone-D,38.4,5.9,1275,HIGH,130.6
PLANT15,23,Zone-E,35.4,5.7,1700,HIGH,191.7
PLANT15,24,Zone-C,30.9,3.7,313,HIGH,106.1
PLANT15,25,Zone-C,45.8,7.9,250,LOW,39.2
PLANT16,1,Zone-C,15.1,7.7,1834,HIGH,111.5
PLANT16,2,Zone-C,21.7,3.5,288,MEDIUM,82.4
PLANT16,3,Zone-E,11.1,4.6,848,HIGH,31.8
PLANT16,4,Zone-E,35.3,3.8,428,MEDIUM,39.0
PLANT16,5,Zone-A,32.2,5.1,268,MEDIUM,187.0
PLANT16,6,Zone-D,26.7,5.4,1973,HIGH,106.1
PLANT16,7,Zone-C,49.9,5.3,1090,LOW,82.6
PLANT16,8,Zone-D,49.1,3.7,575,HIGH,19.3
PLANT16,9,Zone-C,10.0,7.9,508,HIGH,136.4
PLANT16,10,Zone-E,18.6,5.0,1000,MEDIUM,145.8
PLANT16,11,Zone-E,33.9,7.2,1538,LOW,199.4
PLANT16,12,Zone-B,42.0,4.3,1376,LOW,180.9
PLANT16,13,Zone-D,28.7,2.7,1222,LOW,187.4
PLANT16,14,Zone-D,46.1,7.2,1081,MEDIUM,185.9
PLANT16,15,Zone-D,49.9,5.6,262,MEDIUM,155.2
PLANT16,16,Zone-D,43.7,4.2,622,MEDIUM,75.5
PLANT17,1,Zone-B,26.6,7.9,254,LOW,102.4
PLANT17,2,Zone-A,29.0,4.8,744,HIGH,191.4
PLANT17,3,Zone-B,40.2,7.9,1947,LOW,109.1
PLANT17,4,Zone-D,45.9,5.6,965,LOW,180.0
PLANT17,5,Zone-B,18.1,5.7,1450,MEDIUM,76.3
PLANT17,6,Zone-C,46.8,6.8,988,LOW,12.0
PLANT17,7,Zone-B,16.7,3.5,1072,HIGH,115.1
PLANT17,8,Zone-E,19.7,5.7,642,MEDIUM,122.8
PLANT17,9,Zone-B,25.6,6.9,371,HIGH,71.0
PLANT17,10,Zone-D,53.6,5.9,312,MEDIUM,135.3
PLANT17,11,Zone-E,21.5,6.6,1654,LOW,180.0
PLANT17,12,Zone-A,44.1,4.4,1131,HIGH,182.2
PLANT17,13,Zone-E,47.9,5.7,1277,LOW,135.6
PLANT17,14,Zone-E,39.0,6.5,780,MEDIUM,148.5
PLANT17,15,Zone-D,25.1,3.0,1576,MEDIUM,175.1
PLANT17,16,Zone-D,10.1,6.9,376,LOW,101.8
PLANT17,17,Zone-E,28.4,7.5,1163,MEDIUM,71.2
PLANT17,18,Zone-B,23.3,3.2,613,LOW,73.4
PLANT17,19,Zone-B,51.6,3.0,376,MEDIUM,28.4
PLANT17,20,Zone-C,44.8,2.7,1056,LOW,42.6
PLANT17,21,Zone-D,15.8,6.4,656,LOW,173.5
PLANT17,22,Zone-D,30.1,5.1,794,MEDIUM,137.6
PLANT17,23,Zone-A,11.0,3.8,269,LOW,179.2
PLANT17,24,Zone-D,39.8,4.0,1008,LOW,148.8
PLANT18,1,Zone-E,14.8,6.7,1546,MEDIUM,32.9
PLANT18,2,Zone-D,17.6,4.8,1297,LOW,194.6
PLANT18,3,Zone-E,49.8,4.7,748,LOW,31.0
PLANT18,4,Zone-C,54.7,5.3,1449,MEDIUM,171.5
PLANT18,5,Zone-C,18.6,2.8,1672,LOW,19.1
PLANT18,6,Zone-B,41.9,7.4,579,MEDIUM,6.6
PLANT18,7,Zone-B,56.7,6.9,1362,HIGH,14.7
PLANT18,8,Zone-B,13.0,6.2,1998,LOW,108.3
PLANT18,9,Zone-A,59.8,4.1,279,MEDIUM,61.4
PLANT18,10,Zone-C,44.1,7.2,1749,LOW,132.6
PLANT18,11,Zone-A,18.7,4.6,730,MEDIUM,24.7
PLANT18,12,Zone-A,10.5,6.3,646,MEDIUM,23.8
PLANT18,13,Zone-D,34.0,7.9,1419,HIGH,144.3
PLANT18,14,Zone-D,52.8,5.7,1456,LOW,146.8
PLANT18,15,Zone-C,26.8,7.2,608,LOW,80.6
PLANT18,16,Zone-E,51.7,5.1,255,HIGH,5.5
PLANT19,1,Zone-C,29.3,3.0,612,LOW,71.1
PLANT19,2,Zone-B,56.3,3.6,1216,MEDIUM,156.2
PLANT19,3,Zone-B,22.1,2.8,754,HIGH,40.3
PLANT19,4,Zone-A,43.9,5.4,1576,HIGH,70.3
PLANT19,5,Zone-D,30.0,2.9,608,MEDIUM,193.5
PLANT19,6,Zone-B,39.8,6.6,1597,MEDIUM,24.0
PLANT19,7,Zone-A,34.1,7.1,668,HIGH,129.7
PLANT19,8,Zone-E,25.7,5.7,1872,MEDIUM,173.4
PLANT19,9,Zone-D,35.8,4.2,367,HIGH,69.1
PLANT19,10,Zone-B,32.8,5.2,1094,MEDIUM,21.8
PLANT19,11,Zone-E,35.4,4.3,1755,MEDIUM,100.9
PLANT19,12,Zone-A,28.1,2.9,635,MEDIUM,91.2
PLANT19,13,Zone-D,28.7,5.2,540,HIGH,74.2
PLANT19,14,Zone-A,23.4,3.6,627,MEDIUM,78.5
PLANT19,15,Zone-B,33.9,5.8,1187,MEDIUM,137.4
PLANT19,16,Zone-D,18.6,3.7,877,MEDIUM,70.6
PLANT19,17,Zone-B,30.6,3.1,1301,HIGH,125.7
PLANT19,18,Zone-D,17.0,3.0,1410,LOW,119.6
PLANT19,19,Zone-B,15.7,5.5,833,LOW,97.2
PLANT19,20,Zone-B,44.6,4.6,1400,MEDIUM,5.7
PLANT19,21,Zone-E,33.3,6.3,504,MEDIUM,30.3
PLANT19,22,Zone-A,15.3,2.5,290,MEDIUM,97.2
PLANT19,23,Zone-C,46.6,7.1,214,HIGH,141.4
PLANT20,1,Zone-A,10.8,3.2,347,HIGH,163.5
PLANT20,2,Zone-A,53.0,3.2,1874,HIGH,76.7
PLANT20,3,Zone-B,16.2,5.7,1678,MEDIUM,181.0
PLANT20,4,Zone-B,42.1,6.7,750,HIGH,8.6
PLANT20,5,Zone-A,45.7,4.6,734,HIGH,72.4
PLANT20,6,Zone-C,54.4,6.0,1733,LOW,177.5
PLANT20,7,Zone-E,34.4,6.8,1295,LOW,194.3
