order_id,product_id,date,demand,inventory_level,warehouse_location,aisle_number,picking_time,reorder_point,lead_time_days,unit_price,category,day_of_week,month,is_weekend,rolling_avg_7d,quarter,week_of_year,rolling_avg_30d,demand_lag_1,demand_lag_7,stockout_risk
ORD1016,P001,2023-01-17,70,0,Zone-E,15,16.46,132,7,367.34,Tools,1,1,0,73.57,1,3,73.59,70.0,71.0,1
ORD1017,P001,2023-01-18,73,0,Zone-E,15,11.33,132,7,367.34,Tools,2,1,0,73.71,1,3,73.56,70.0,72.0,1
ORD1018,P001,2023-01-19,74,0,Zone-E,15,7.19,132,7,367.34,Tools,3,1,0,73.57,1,3,73.58,73.0,75.0,1
ORD1019,P001,2023-01-20,75,0,Zone-E,15,13.03,132,7,367.34,Tools,4,1,0,73.43,1,3,73.65,74.0,76.0,1
ORD1020,P001,2023-01-21,86,0,Zone-E,15,10.82,132,7,367.34,Tools,5,1,1,74.71,1,3,74.24,75.0,77.0,1
ORD1021,P001,2023-01-22,94,0,Zone-E,15,14.19,132,7,367.34,Tools,6,1,1,77.43,1,3,75.14,86.0,75.0,1
ORD1022,P001,2023-01-23,69,0,Zone-E,15,7.01,132,7,367.34,Tools,0,1,0,77.29,1,4,74.87,94.0,70.0,1
ORD1023,P001,2023-01-24,69,0,Zone-E,15,11.72,132,7,367.34,Tools,1,1,0,77.14,1,4,74.62,69.0,70.0,1
ORD1024,P001,2023-01-25,66,0,Zone-E,15,8.68,132,7,367.34,Tools,2,1,0,76.14,1,4,74.28,69.0,73.0,1
ORD1025,P001,2023-01-26,70,0,Zone-E,15,15.84,132,7,367.34,Tools,3,1,0,75.57,1,4,74.12,66.0,74.0,1
ORD1026,P001,2023-01-27,70,0,Zone-E,15,17.48,132,7,367.34,Tools,4,1,0,74.86,1,4,73.96,70.0,75.0,1
ORD1027,P001,2023-01-28,83,0,Zone-E,15,10.47,132,7,367.34,Tools,5,1,1,74.43,1,4,74.29,70.0,86.0,1
ORD1028,P001,2023-01-29,85,0,Zone-E,15,14.99,132,7,367.34,Tools,6,1,1,73.14,1,4,74.66,83.0,94.0,1
ORD1029,P001,2023-01-30,73,0,Zone-E,15,14.61,132,7,367.34,Tools,0,1,0,73.71,1,5,74.6,85.0,69.0,1
ORD1030,P001,2023-01-31,75,0,Zone-E,15,19.12,132,7,367.34,Tools,1,1,0,74.57,1,5,74.13,73.0,69.0,1
ORD1031,P001,2023-02-01,80,0,Zone-E,15,16.27,132,7,367.34,Tools,2,2,0,76.57,1,5,74.33,75.0,66.0,1
ORD1032,P001,2023-02-02,83,0,Zone-E,15,6.55,132,7,367.34,Tools,3,2,0,78.43,1,5,74.87,80.0,70.0,1
ORD1033,P001,2023-02-03,77,0,Zone-E,15,11.77,132,7,367.34,Tools,4,2,0,79.43,1,5,75.17,83.0,70.0,1
ORD1034,P001,2023-02-04,87,0,Zone-E,15,13.6,132,7,367.34,Tools,5,2,1,80.0,1,5,76.0,77.0,83.0,1
ORD1035,P001,2023-02-05,85,0,Zone-E,15,18.25,132,7,367.34,Tools,6,2,1,80.0,1,5,76.57,87.0,85.0,1
ORD1036,P001,2023-02-06,73,0,Zone-E,15,8.74,132,7,367.34,Tools,0,2,0,80.0,1,6,76.33,85.0,73.0,1
ORD1037,P001,2023-02-07,68,0,Zone-E,15,7.04,132,7,367.34,Tools,1,2,0,79.0,1,6,75.93,73.0,75.0,1
ORD1038,P001,2023-02-08,72,0,Zone-E,15,14.43,132,7,367.34,Tools,2,2,0,77.86,1,6,75.77,68.0,80.0,1
ORD1039,P001,2023-02-09,74,0,Zone-E,15,14.55,132,7,367.34,Tools,3,2,0,76.57,1,6,75.87,72.0,83.0,1
ORD1040,P001,2023-02-10,78,0,Zone-E,15,11.62,132,7,367.34,Tools,4,2,0,76.71,1,6,76.07,74.0,77.0,1
ORD1041,P001,2023-02-11,89,0,Zone-E,15,13.28,132,7,367.34,Tools,5,2,1,77.0,1,6,76.53,78.0,87.0,1
ORD1042,P001,2023-02-12,83,0,Zone-E,15,14.74,132,7,367.34,Tools,6,2,1,76.71,1,6,76.77,89.0,85.0,1
ORD1043,P001,2023-02-13,75,0,Zone-E,15,17.04,132,7,367.34,Tools,0,2,0,77.0,1,7,76.7,83.0,73.0,1
ORD1044,P001,2023-02-14,64,0,Zone-E,15,15.35,132,7,367.34,Tools,1,2,0,76.43,1,7,76.33,75.0,68.0,1
ORD1045,P001,2023-02-15,79,0,Zone-E,15,10.56,132,7,367.34,Tools,2,2,0,77.43,1,7,76.63,64.0,72.0,1
ORD1046,P001,2023-02-16,76,0,Zone-E,15,15.49,132,7,367.34,Tools,3,2,0,77.71,1,7,76.83,79.0,74.0,1
ORD1047,P001,2023-02-17,79,0,Zone-E,15,6.88,132,7,367.34,Tools,4,2,0,77.86,1,7,77.03,76.0,78.0,1
ORD1048,P001,2023-02-18,83,0,Zone-E,15,12.71,132,7,367.34,Tools,5,2,1,77.0,1,7,77.33,79.0,89.0,1
ORD1049,P001,2023-02-19,83,0,Zone-E,15,8.0,132,7,367.34,Tools,6,2,1,77.0,1,7,77.6,83.0,83.0,1
ORD1050,P001,2023-02-20,77,0,Zone-E,15,9.76,132,7,367.34,Tools,0,2,0,77.29,1,8,77.3,83.0,75.0,1
ORD1051,P001,2023-02-21,80,0,Zone-E,15,14.56,132,7,367.34,Tools,1,2,0,79.57,1,8,76.83,77.0,64.0,1
ORD1052,P001,2023-02-22,80,0,Zone-E,15,19.31,132,7,367.34,Tools,2,2,0,79.71,1,8,77.2,80.0,79.0,1
ORD1053,P001,2023-02-23,88,0,Zone-E,15,15.07,132,7,367.34,Tools,3,2,0,81.43,1,8,77.83,80.0,76.0,1
ORD1054,P001,2023-02-24,74,0,Zone-E,15,10.97,132,7,367.34,Tools,4,2,0,80.71,1,8,78.1,88.0,79.0,1
ORD1055,P001,2023-02-25,94,0,Zone-E,15,19.28,132,7,367.34,Tools,5,2,1,82.29,1,8,78.9,74.0,83.0,1
ORD1056,P001,2023-02-26,96,0,Zone-E,15,17.28,132,7,367.34,Tools,6,2,1,84.14,1,8,79.77,94.0,83.0,1
ORD1057,P001,2023-02-27,77,0,Zone-E,15,12.86,132,7,367.34,Tools,0,2,0,84.14,1,9,79.57,96.0,77.0,1
ORD1058,P001,2023-02-28,83,0,Zone-E,15,15.15,132,7,367.34,Tools,1,2,0,84.57,1,9,79.5,77.0,80.0,1
ORD1059,P001,2023-03-01,81,0,Zone-E,15,15.6,132,7,367.34,Tools,2,3,0,84.71,1,9,79.77,83.0,80.0,1
ORD1060,P001,2023-03-02,76,0,Zone-E,15,8.35,132,7,367.34,Tools,3,3,0,83.0,1,9,79.8,81.0,88.0,1
ORD1061,P001,2023-03-03,84,0,Zone-E,15,11.37,132,7,367.34,Tools,4,3,0,84.43,1,9,79.93,76.0,74.0,1
ORD1062,P001,2023-03-04,97,0,Zone-E,15,10.6,132,7,367.34,Tools,5,3,1,84.86,1,9,80.4,84.0,94.0,1
ORD1063,P001,2023-03-05,90,0,Zone-E,15,8.82,132,7,367.34,Tools,6,3,1,84.0,1,9,80.83,97.0,96.0,1
ORD1064,P001,2023-03-06,88,0,Zone-E,15,14.91,132,7,367.34,Tools,0,3,0,85.57,1,10,80.87,90.0,77.0,1
ORD1065,P001,2023-03-07,81,0,Zone-E,15,19.26,132,7,367.34,Tools,1,3,0,85.29,1,10,80.73,88.0,83.0,1
ORD1066,P001,2023-03-08,71,0,Zone-E,15,7.26,132,7,367.34,Tools,2,3,0,83.86,1,10,80.67,81.0,81.0,1
ORD1067,P001,2023-03-09,80,0,Zone-E,15,13.54,132,7,367.34,Tools,3,3,0,84.43,1,10,81.07,71.0,76.0,1
ORD1068,P001,2023-03-10,79,0,Zone-E,15,10.71,132,7,367.34,Tools,4,3,0,83.71,1,10,81.3,80.0,84.0,1
ORD1069,P001,2023-03-11,92,0,Zone-E,15,17.43,132,7,367.34,Tools,5,3,1,83.0,1,10,81.9,79.0,97.0,1
ORD1070,P001,2023-03-12,89,0,Zone-E,15,14.67,132,7,367.34,Tools,6,3,1,82.86,1,10,82.27,92.0,90.0,1
ORD1071,P001,2023-03-13,85,0,Zone-E,15,18.63,132,7,367.34,Tools,0,3,0,82.43,1,11,82.13,89.0,88.0,1
ORD1072,P001,2023-03-14,83,0,Zone-E,15,6.12,132,7,367.34,Tools,1,3,0,82.71,1,11,82.13,85.0,81.0,1
ORD1073,P001,2023-03-15,85,0,Zone-E,15,18.69,132,7,367.34,Tools,2,3,0,84.71,1,11,82.47,83.0,71.0,1
ORD1074,P001,2023-03-16,79,0,Zone-E,15,14.8,132,7,367.34,Tools,3,3,0,84.57,1,11,82.97,85.0,80.0,1
ORD1075,P001,2023-03-17,70,0,Zone-E,15,8.37,132,7,367.34,Tools,4,3,0,83.29,1,11,82.67,79.0,79.0,1
ORD1076,P001,2023-03-18,92,0,Zone-E,15,16.08,132,7,367.34,Tools,5,3,1,83.29,1,11,83.2,70.0,92.0,1
ORD1077,P001,2023-03-19,89,0,Zone-E,15,17.46,132,7,367.34,Tools,6,3,1,83.29,1,11,83.53,92.0,89.0,1
ORD1078,P001,2023-03-20,84,0,Zone-E,15,12.87,132,7,367.34,Tools,0,3,0,83.14,1,12,83.57,89.0,85.0,1
ORD1079,P001,2023-03-21,90,0,Zone-E,15,9.58,132,7,367.34,Tools,1,3,0,84.14,1,12,83.8,84.0,83.0,1
ORD1080,P001,2023-03-22,85,0,Zone-E,15,11.86,132,7,367.34,Tools,2,3,0,84.14,1,12,84.07,90.0,85.0,1
ORD1081,P001,2023-03-23,79,0,Zone-E,15,12.79,132,7,367.34,Tools,3,3,0,84.14,1,12,84.03,85.0,79.0,1
ORD1082,P001,2023-03-24,79,0,Zone-E,15,9.11,132,7,367.34,Tools,4,3,0,85.43,1,12,84.0,79.0,70.0,1
ORD1083,P001,2023-03-25,108,0,Zone-E,15,9.79,132,7,367.34,Tools,5,3,1,87.71,1,12,84.67,79.0,92.0,1
ORD1084,P001,2023-03-26,92,0,Zone-E,15,19.43,132,7,367.34,Tools,6,3,1,88.14,1,12,85.27,108.0,89.0,1
ORD1085,P001,2023-03-27,80,0,Zone-E,15,18.88,132,7,367.34,Tools,0,3,0,87.57,1,13,84.8,92.0,84.0,1
ORD1086,P001,2023-03-28,79,0,Zone-E,15,18.87,132,7,367.34,Tools,1,3,0,86.0,1,13,84.23,80.0,90.0,1
ORD1087,P001,2023-03-29,84,0,Zone-E,15,11.78,132,7,367.34,Tools,2,3,0,85.86,1,13,84.47,79.0,85.0,1
ORD1088,P001,2023-03-30,78,0,Zone-E,15,8.58,132,7,367.34,Tools,3,3,0,85.71,1,13,84.3,84.0,79.0,1
ORD1089,P001,2023-03-31,84,0,Zone-E,15,10.28,132,7,367.34,Tools,4,3,0,86.43,1,13,84.4,78.0,79.0,1
ORD1090,P001,2023-04-01,93,0,Zone-E,15,15.4,132,7,367.34,Tools,5,4,1,84.29,2,13,84.97,84.0,108.0,1
ORD1091,P001,2023-04-02,85,0,Zone-E,15,6.95,132,7,367.34,Tools,6,4,1,83.29,2,13,85.0,93.0,92.0,1
ORD1092,P001,2023-04-03,84,0,Zone-E,15,7.89,132,7,367.34,Tools,0,4,0,83.86,2,14,84.57,85.0,80.0,1
ORD1093,P001,2023-04-04,75,0,Zone-E,15,9.99,132,7,367.34,Tools,1,4,0,83.29,2,14,84.07,84.0,79.0,1
ORD1094,P001,2023-04-05,85,0,Zone-E,15,15.48,132,7,367.34,Tools,2,4,0,83.43,2,14,83.97,75.0,84.0,1
ORD1095,P001,2023-04-06,78,0,Zone-E,15,13.46,132,7,367.34,Tools,3,4,0,83.43,2,14,83.87,85.0,78.0,1
ORD1096,P001,2023-04-07,77,0,Zone-E,15,17.71,132,7,367.34,Tools,4,4,0,82.43,2,14,84.07,78.0,84.0,1
ORD1097,P001,2023-04-08,82,0,Zone-E,15,7.1,132,7,367.34,Tools,5,4,1,80.86,2,14,84.13,77.0,93.0,1
ORD1098,P001,2023-04-09,89,0,Zone-E,15,10.56,132,7,367.34,Tools,6,4,1,81.43,2,14,84.47,82.0,85.0,1
ORD1099,P001,2023-04-10,80,0,Zone-E,15,13.81,132,7,367.34,Tools,0,4,0,80.86,2,15,84.07,89.0,84.0,1
ORD1100,P001,2023-04-11,90,0,Zone-E,15,12.29,132,7,367.34,Tools,1,4,0,83.0,2,15,84.1,80.0,75.0,1
ORD1101,P001,2023-04-12,77,0,Zone-E,15,9.87,132,7,367.34,Tools,2,4,0,81.86,2,15,83.83,90.0,85.0,1
ORD1102,P001,2023-04-13,78,0,Zone-E,15,6.52,132,7,367.34,Tools,3,4,0,81.86,2,15,83.67,77.0,78.0,1
ORD1103,P001,2023-04-14,81,0,Zone-E,15,10.86,132,7,367.34,Tools,4,4,0,82.43,2,15,83.53,78.0,77.0,1
ORD1104,P001,2023-04-15,93,0,Zone-E,15,9.67,132,7,367.34,Tools,5,4,1,84.0,2,15,84.0,81.0,82.0,1
ORD1105,P001,2023-04-16,86,0,Zone-E,15,14.41,132,7,367.34,Tools,6,4,1,83.57,2,15,84.53,93.0,89.0,1
ORD1106,P001,2023-04-17,92,0,Zone-E,15,7.87,132,7,367.34,Tools,0,4,0,85.29,2,16,84.53,86.0,80.0,1
ORD1107,P001,2023-04-18,89,0,Zone-E,15,19.17,132,7,367.34,Tools,1,4,0,85.14,2,16,84.53,92.0,90.0,1
ORD1108,P001,2023-04-19,70,0,Zone-E,15,11.38,132,7,367.34,Tools,2,4,0,84.14,2,16,84.07,89.0,77.0,1
ORD1109,P001,2023-04-20,81,0,Zone-E,15,11.93,132,7,367.34,Tools,3,4,0,84.57,2,16,83.77,70.0,78.0,1
ORD1110,P001,2023-04-21,76,0,Zone-E,15,18.36,132,7,367.34,Tools,4,4,0,83.86,2,16,83.47,81.0,81.0,1
ORD1111,P001,2023-04-22,101,0,Zone-E,15,9.38,132,7,367.34,Tools,5,4,1,85.0,2,16,84.2,76.0,93.0,1
ORD1112,P001,2023-04-23,102,0,Zone-E,15,18.62,132,7,367.34,Tools,6,4,1,87.29,2,16,84.97,101.0,86.0,1
ORD1113,P001,2023-04-24,82,0,Zone-E,15,18.89,132,7,367.34,Tools,0,4,0,85.86,2,17,84.1,102.0,92.0,1
ORD1114,P001,2023-04-25,82,0,Zone-E,15,15.86,132,7,367.34,Tools,1,4,0,84.86,2,17,83.77,82.0,89.0,1
ORD1115,P001,2023-04-26,88,0,Zone-E,15,9.34,132,7,367.34,Tools,2,4,0,87.43,2,17,84.03,82.0,70.0,1
ORD1116,P001,2023-04-27,86,0,Zone-E,15,10.62,132,7,367.34,Tools,3,4,0,88.14,2,17,84.27,88.0,81.0,1
ORD1117,P001,2023-04-28,76,0,Zone-E,15,6.62,132,7,367.34,Tools,4,4,0,88.14,2,17,84.0,86.0,76.0,1
ORD1118,P001,2023-04-29,89,0,Zone-E,15,16.31,132,7,367.34,Tools,5,4,1,86.43,2,17,84.37,76.0,101.0,1
ORD1119,P001,2023-04-30,102,0,Zone-E,15,12.39,132,7,367.34,Tools,6,4,1,86.43,2,17,84.97,89.0,102.0,1
ORD1120,P001,2023-05-01,78,0,Zone-E,15,6.65,132,7,367.34,Tools,0,5,0,85.86,2,18,84.47,102.0,82.0,1
ORD1121,P001,2023-05-02,73,0,Zone-E,15,14.57,132,7,367.34,Tools,1,5,0,84.57,2,18,84.07,78.0,82.0,1
ORD1122,P001,2023-05-03,79,0,Zone-E,15,18.6,132,7,367.34,Tools,2,5,0,83.29,2,18,83.9,73.0,88.0,1
ORD1123,P001,2023-05-04,77,0,Zone-E,15,13.28,132,7,367.34,Tools,3,5,0,82.0,2,18,83.97,79.0,86.0,1
ORD1124,P001,2023-05-05,84,0,Zone-E,15,14.67,132,7,367.34,Tools,4,5,0,83.14,2,18,83.93,77.0,76.0,1
ORD1125,P001,2023-05-06,100,0,Zone-E,15,17.71,132,7,367.34,Tools,5,5,1,84.71,2,18,84.67,84.0,89.0,1
ORD1126,P001,2023-05-07,97,0,Zone-E,15,11.24,132,7,367.34,Tools,6,5,1,84.0,2,18,85.33,100.0,102.0,1
ORD1127,P001,2023-05-08,81,0,Zone-E,15,7.73,132,7,367.34,Tools,0,5,0,84.43,2,19,85.3,97.0,78.0,1
ORD1128,P001,2023-05-09,81,0,Zone-E,15,11.21,132,7,367.34,Tools,1,5,0,85.57,2,19,85.03,81.0,73.0,1
ORD1129,P001,2023-05-10,81,0,Zone-E,15,14.8,132,7,367.34,Tools,2,5,0,85.86,2,19,85.07,81.0,79.0,1
ORD1130,P001,2023-05-11,75,0,Zone-E,15,7.36,132,7,367.34,Tools,3,5,0,85.57,2,19,84.57,81.0,77.0,1
ORD1131,P001,2023-05-12,74,0,Zone-E,15,6.53,132,7,367.34,Tools,4,5,0,84.14,2,19,84.47,75.0,84.0,1
ORD1132,P001,2023-05-13,81,0,Zone-E,15,10.31,132,7,367.34,Tools,5,5,1,81.43,2,19,84.57,74.0,100.0,1
ORD1133,P001,2023-05-14,96,0,Zone-E,15,15.2,132,7,367.34,Tools,6,5,1,81.29,2,19,85.07,81.0,97.0,1
ORD1134,P001,2023-05-15,72,0,Zone-E,15,7.6,132,7,367.34,Tools,0,5,0,80.0,2,20,84.37,96.0,81.0,1
ORD1135,P001,2023-05-16,74,0,Zone-E,15,10.7,132,7,367.34,Tools,1,5,0,79.0,2,20,83.97,72.0,81.0,1
ORD1136,P001,2023-05-17,80,0,Zone-E,15,8.4,132,7,367.34,Tools,2,5,0,78.86,2,20,83.57,74.0,81.0,1
ORD1137,P001,2023-05-18,77,0,Zone-E,15,13.68,132,7,367.34,Tools,3,5,0,79.14,2,20,83.17,80.0,75.0,1
ORD1138,P001,2023-05-19,86,0,Zone-E,15,11.02,132,7,367.34,Tools,4,5,0,80.86,2,20,83.7,77.0,74.0,1
ORD1139,P001,2023-05-20,92,0,Zone-E,15,13.84,132,7,367.34,Tools,5,5,1,82.43,2,20,84.07,86.0,81.0,1
ORD1140,P001,2023-05-21,89,0,Zone-E,15,11.79,132,7,367.34,Tools,6,5,1,81.43,2,20,84.5,92.0,96.0,1
ORD1141,P001,2023-05-22,83,0,Zone-E,15,15.99,132,7,367.34,Tools,0,5,0,83.0,2,21,83.9,89.0,72.0,1
ORD1142,P001,2023-05-23,74,0,Zone-E,15,12.82,132,7,367.34,Tools,1,5,0,83.0,2,21,82.97,83.0,74.0,1
ORD1143,P001,2023-05-24,70,0,Zone-E,15,11.26,132,7,367.34,Tools,2,5,0,81.57,2,21,82.57,74.0,80.0,1
ORD1144,P001,2023-05-25,74,0,Zone-E,15,6.15,132,7,367.34,Tools,3,5,0,81.14,2,21,82.3,70.0,77.0,1
ORD1145,P001,2023-05-26,75,0,Zone-E,15,17.44,132,7,367.34,Tools,4,5,0,79.57,2,21,81.87,74.0,86.0,1
ORD1146,P001,2023-05-27,90,0,Zone-E,15,13.74,132,7,367.34,Tools,5,5,1,79.29,2,21,82.0,75.0,92.0,1
ORD1147,P001,2023-05-28,87,0,Zone-E,15,7.12,132,7,367.34,Tools,6,5,1,79.0,2,21,82.37,90.0,89.0,1
ORD1148,P001,2023-05-29,77,0,Zone-E,15,15.08,132,7,367.34,Tools,0,5,0,78.14,2,22,81.97,87.0,83.0,1
ORD1149,P001,2023-05-30,72,0,Zone-E,15,18.77,132,7,367.34,Tools,1,5,0,77.86,2,22,80.97,77.0,74.0,1
ORD1150,P001,2023-05-31,74,0,Zone-E,15,12.67,132,7,367.34,Tools,2,5,0,78.43,2,22,80.83,72.0,70.0,1
ORD1151,P001,2023-06-01,77,0,Zone-E,15,19.45,132,7,367.34,Tools,3,6,0,78.86,2,22,80.97,74.0,74.0,1
ORD1152,P001,2023-06-02,85,0,Zone-E,15,7.93,132,7,367.34,Tools,4,6,0,80.29,2,22,81.17,77.0,75.0,1
ORD1153,P001,2023-06-03,89,0,Zone-E,15,17.3,132,7,367.34,Tools,5,6,1,80.14,2,22,81.57,85.0,90.0,1
ORD1154,P001,2023-06-04,87,0,Zone-E,15,15.46,132,7,367.34,Tools,6,6,1,80.14,2,22,81.67,89.0,87.0,1
ORD1155,P001,2023-06-05,76,0,Zone-E,15,11.35,132,7,367.34,Tools,0,6,0,80.0,2,23,80.87,87.0,77.0,1
ORD1156,P001,2023-06-06,67,0,Zone-E,15,11.05,132,7,367.34,Tools,1,6,0,79.29,2,23,79.87,76.0,72.0,1
ORD1157,P001,2023-06-07,76,0,Zone-E,15,17.88,132,7,367.34,Tools,2,6,0,79.57,2,23,79.7,67.0,74.0,1
ORD1158,P001,2023-06-08,76,0,Zone-E,15,16.17,132,7,367.34,Tools,3,6,0,79.43,2,23,79.53,76.0,77.0,1
ORD1159,P001,2023-06-09,74,0,Zone-E,15,15.56,132,7,367.34,Tools,4,6,0,77.86,2,23,79.3,76.0,85.0,1
ORD1160,P001,2023-06-10,72,0,Zone-E,15,11.73,132,7,367.34,Tools,5,6,1,75.43,2,23,79.2,74.0,89.0,1
ORD1161,P001,2023-06-11,83,0,Zone-E,15,10.46,132,7,367.34,Tools,6,6,1,74.86,2,23,79.5,72.0,87.0,1
ORD1162,P001,2023-06-12,66,0,Zone-E,15,12.33,132,7,367.34,Tools,0,6,0,73.43,2,24,79.0,83.0,76.0,1
ORD1163,P001,2023-06-13,72,0,Zone-E,15,16.0,132,7,367.34,Tools,1,6,0,74.14,2,24,78.2,66.0,67.0,1
ORD1164,P001,2023-06-14,77,0,Zone-E,15,16.07,132,7,367.34,Tools,2,6,0,74.29,2,24,78.37,72.0,76.0,1
ORD1165,P001,2023-06-15,77,0,Zone-E,15,9.21,132,7,367.34,Tools,3,6,0,74.43,2,24,78.47,77.0,76.0,1
ORD1166,P001,2023-06-16,71,0,Zone-E,15,17.73,132,7,367.34,Tools,4,6,0,74.0,2,24,78.17,77.0,74.0,1
ORD1167,P001,2023-06-17,70,0,Zone-E,15,11.89,132,7,367.34,Tools,5,6,1,73.71,2,24,77.93,71.0,72.0,1
ORD1168,P001,2023-06-18,73,0,Zone-E,15,13.12,132,7,367.34,Tools,6,6,1,72.29,2,24,77.5,70.0,83.0,1
ORD1169,P001,2023-06-19,76,0,Zone-E,15,18.41,132,7,367.34,Tools,0,6,0,73.71,2,25,76.97,73.0,66.0,1
ORD1170,P001,2023-06-20,77,0,Zone-E,15,13.06,132,7,367.34,Tools,1,6,0,74.43,2,25,76.57,76.0,72.0,1
ORD1171,P001,2023-06-21,68,0,Zone-E,15,8.93,132,7,367.34,Tools,2,6,0,73.14,2,25,76.07,77.0,77.0,1
ORD1172,P001,2023-06-22,68,0,Zone-E,15,6.61,132,7,367.34,Tools,3,6,0,71.86,2,25,75.87,68.0,77.0,1
ORD1173,P001,2023-06-23,80,0,Zone-E,15,18.94,132,7,367.34,Tools,4,6,0,73.14,2,25,76.2,68.0,71.0,1
ORD1174,P001,2023-06-24,82,0,Zone-E,15,14.37,132,7,367.34,Tools,5,6,1,74.86,2,25,76.47,80.0,70.0,1
ORD1175,P001,2023-06-25,79,0,Zone-E,15,8.29,132,7,367.34,Tools,6,6,1,75.71,2,25,76.6,82.0,73.0,1
ORD1176,P001,2023-06-26,66,0,Zone-E,15,13.88,132,7,367.34,Tools,0,6,0,74.29,2,26,75.8,79.0,76.0,1
ORD1177,P001,2023-06-27,80,0,Zone-E,15,10.86,132,7,367.34,Tools,1,6,0,74.71,2,26,75.57,66.0,77.0,1
ORD1178,P001,2023-06-28,70,0,Zone-E,15,9.78,132,7,367.34,Tools,2,6,0,75.0,2,26,75.33,80.0,68.0,1
ORD1179,P001,2023-06-29,63,0,Zone-E,15,16.99,132,7,367.34,Tools,3,6,0,74.29,2,26,75.03,70.0,68.0,1
ORD1180,P001,2023-06-30,67,0,Zone-E,15,7.03,132,7,367.34,Tools,4,6,0,72.43,2,26,74.8,63.0,80.0,1
ORD1181,P001,2023-07-01,85,0,Zone-E,15,18.82,132,7,367.34,Tools,5,7,1,72.86,3,26,75.07,67.0,82.0,1
ORD1182,P001,2023-07-02,86,0,Zone-E,15,7.12,132,7,367.34,Tools,6,7,1,73.86,3,26,75.1,85.0,79.0,1
ORD1183,P001,2023-07-03,78,0,Zone-E,15,17.69,132,7,367.34,Tools,0,7,0,75.57,3,27,74.73,86.0,66.0,1
ORD1184,P001,2023-07-04,77,0,Zone-E,15,8.03,132,7,367.34,Tools,1,7,0,75.14,3,27,74.4,78.0,80.0,1
ORD1185,P001,2023-07-05,68,0,Zone-E,15,16.12,132,7,367.34,Tools,2,7,0,74.86,3,27,74.13,77.0,70.0,1
ORD1186,P001,2023-07-06,76,0,Zone-E,15,17.32,132,7,367.34,Tools,3,7,0,76.71,3,27,74.43,68.0,63.0,1
ORD1187,P001,2023-07-07,69,0,Zone-E,15,6.5,132,7,367.34,Tools,4,7,0,77.0,3,27,74.2,76.0,67.0,1
ORD1188,P001,2023-07-08,81,0,Zone-E,15,19.5,132,7,367.34,Tools,5,7,1,76.43,3,27,74.37,69.0,85.0,1
ORD1189,P001,2023-07-09,78,0,Zone-E,15,18.33,132,7,367.34,Tools,6,7,1,75.29,3,27,74.5,81.0,86.0,1
ORD1190,P001,2023-07-10,78,0,Zone-E,15,17.47,132,7,367.34,Tools,0,7,0,75.29,3,28,74.7,78.0,78.0,1
