txn_id,product_id,plant_code,date,txn_type,quantity,direction,unit_cost,total_cost,carrier,reference_order
TXN_00000025,PROD_1701005,PLANT06,2023-01-15,ADJUSTMENT,2601,OUT,452.62,398000.69,,
TXN_00000026,PROD_1700491,PLANT11,2024-08-04,RECEIPT,3225,IN,249.66,988030.81,,
TXN_00000027,PROD_1701005,PLANT02,2023-03-10,ADJUSTMENT,2283,OUT,17.63,357459.65,,
TXN_00000028,PROD_1701815,PLANT11,2023-07-04,RETURN,3398,IN,355.21,101569.66,,
TXN_00000029,PROD_1701815,PLANT11,2024-11-23,RECEIPT,4582,IN,151.98,1092439.02,,
TXN_00000030,PROD_1701304,PLANT19,2024-10-05,RETURN,1349,IN,323.24,594834.71,,
TXN_00000031,PROD_1700187,PLANT03,2023-05-22,ADJUSTMENT,21,OUT,318.65,3452.5,,
TXN_00000032,PROD_1701005,PLANT03,2024-04-06,TRANSFER,3048,OUT,323.23,1253944.23,,
TXN_00000033,PROD_1701002,PLANT08,2023-12-13,TRANSFER,2761,OUT,339.81,1131451.99,,
TXN_00000034,PROD_1701423,PLANT14,2023-03-18,RECEIPT,4408,IN,135.33,77466.04,,
TXN_00000035,PROD_1700187,PLANT05,2024-09-29,SHIPMENT,2314,OUT,247.9,466409.24,V014_CARRIER,ORD1446819
TXN_00000036,PROD_1700491,PLANT12,2024-05-20,ADJUSTMENT,369,OUT,41.79,12463.18,,
TXN_00000037,PROD_1701949,PLANT07,2023-12-07,RETURN,742,IN,412.75,200554.02,,
TXN_00000038,PROD_1701135,PLANT18,2024-04-06,SHIPMENT,4536,OUT,232.94,1732823.25,V004_CARRIER,ORD1426407
TXN_00000039,PROD_1700742,PLANT01,2023-02-13,TRANSFER,3397,OUT,461.36,567605.73,,
TXN_00000040,PROD_1700132,PLANT19,2024-08-11,TRANSFER,920,OUT,236.95,65894.73,,
TXN_00000041,PROD_1700903,PLANT03,2024-08-09,RECEIPT,321,IN,176.75,39155.48,,
TXN_00000042,PROD_1700110,PLANT07,2024-02-09,TRANSFER,707,OUT,83.14,335521.5,,
TXN_00000043,PROD_1701002,PLANT08,2024-10-21,RECEIPT,291,IN,374.93,10855.2,,
TXN_00000044,PROD_1700562,PLANT07,2023-04-26,TRANSFER,4648,OUT,143.75,107609.41,,
TXN_00000045,PROD_1701053,PLANT09,2023-11-25,SHIPMENT,3590,OUT,297.33,1656906.92,V008_CARRIER,ORD1449362
TXN_00000046,PROD_1701925,PLANT11,2023-10-06,TRANSFER,263,OUT,351.19,115450.5,,
TXN_00000047,PROD_1700401,PLANT14,2023-06-26,RECEIPT,2639,IN,484.78,103122.58,,
TXN_00000048,PROD_1700390,PLANT11,2023-11-04,TRANSFER,4196,OUT,214.33,220275.64,,
TXN_00000049,PROD_1701896,PLANT12,2024-10-13,RECEIPT,1576,IN,458.18,165074.31,,
TXN_00000050,PROD_1700619,PLANT08,2023-02-22,TRANSFER,3661,OUT,259.79,1669253.57,,
TXN_00000051,PROD_1701112,PLANT17,2024-05-25,RETURN,1183,IN,340.36,104063.18,,
TXN_00000052,PROD_1701237,PLANT07,2024-11-16,SHIPMENT,4954,OUT,181.38,1471875.97,V012_CARRIER,ORD1444627
TXN_00000053,PROD_1700791,PLANT04,2024-11-02,RETURN,2311,IN,123.94,197134.3,,
TXN_00000054,PROD_1700742,PLANT01,2024-06-15,SHIPMENT,3005,OUT,229.0,1164443.65,V004_CARRIER,ORD1401119
TXN_00000055,PROD_1700704,PLANT15,2023-10-31,TRANSFER,1669,OUT,342.81,773324.04,,
TXN_00000056,PROD_1700903,PLANT03,2024-09-12,RETURN,516,IN,405.75,193556.52,,
TXN_00000057,PROD_1700704,PLANT04,2023-04-08,RECEIPT,660,IN,248.91,162388.99,,
TXN_00000058,PROD_1701422,PLANT20,2023-12-26,RETURN,4005,IN,387.32,1036566.04,,
TXN_00000059,PROD_1701473,PLANT14,2023-09-02,TRANSFER,4869,OUT,247.98,1006168.9,,
TXN_00000060,PROD_1700826,PLANT13,2024-10-09,RETURN,1230,IN,450.36,355377.22,,
TXN_00000061,PROD_1701257,PLANT12,2024-07-26,ADJUSTMENT,2442,OUT,28.47,435872.34,,
TXN_00000062,PROD_1700352,PLANT11,2023-03-02,TRANSFER,2452,OUT,358.81,626146.9,,
TXN_00000063,PROD_1701237,PLANT17,2024-11-25,RECEIPT,3451,IN,323.99,218539.64,,
TXN_00000064,PROD_1700704,PLANT15,2023-02-25,RECEIPT,2690,IN,393.58,796467.41,,
TXN_00000065,PROD_1700700,PLANT19,2023-09-13,TRANSFER,520,OUT,494.34,208491.24,,
TXN_00000066,PROD_1700619,PLANT08,2024-08-22,RETURN,2202,IN,160.77,947783.54,,
TXN_00000067,PROD_1701002,PLANT08,2023-09-19,TRANSFER,758,OUT,417.96,198615.09,,
TXN_00000068,PROD_1700491,PLANT18,2023-09-01,RECEIPT,1783,IN,22.72,860269.7,,
TXN_00000069,PROD_1701053,PLANT11,2023-01-16,TRANSFER,2891,OUT,287.02,1379362.29,,
TXN_00000070,PROD_1701953,PLANT18,2024-12-25,SHIPMENT,2001,OUT,209.09,824567.17,V015_CARRIER,ORD1430571
TXN_00000071,PROD_1700214,PLANT01,2023-12-25,SHIPMENT,1887,OUT,48.76,651048.54,V007_CARRIER,ORD1407615
TXN_00000072,PROD_1701112,PLANT06,2023-11-29,SHIPMENT,2275,OUT,246.66,583454.21,V008_CARRIER,ORD1407018
TXN_00000073,PROD_1700137,PLANT12,2024-01-01,RECEIPT,920,IN,159.88,66027.31,,
TXN_00000074,PROD_1700401,PLANT08,2023-05-24,SHIPMENT,926,OUT,142.98,348392.3,V013_CARRIER,ORD1438560
TXN_00000075,PROD_1701949,PLANT07,2024-01-14,ADJUSTMENT,2615,OUT,298.02,1107157.89,,
TXN_00000076,PROD_1700110,PLANT14,2024-04-04,RETURN,3588,IN,464.37,1160982.85,,
TXN_00000077,PROD_1700478,PLANT06,2024-03-30,TRANSFER,2919,OUT,466.51,14085.33,,
TXN_00000078,PROD_1701473,PLANT14,2024-09-21,RETURN,4888,IN,288.3,1671329.53,,
TXN_00000079,PROD_1701304,PLANT01,2024-07-28,SHIPMENT,3637,OUT,47.96,730205.55,V009_CARRIER,ORD1447302
TXN_00000080,PROD_1700214,PLANT10,2024-10-31,SHIPMENT,3137,OUT,23.17,1322386.76,V005_CARRIER,ORD1401623
TXN_00000081,PROD_1700401,PLANT12,2024-09-07,SHIPMENT,4513,OUT,302.04,1726369.65,V008_CARRIER,ORD1409597
TXN_00000082,PROD_1700478,PLANT06,2023-01-20,TRANSFER,1873,OUT,222.28,803021.32,,
TXN_00000083,PROD_1700491,PLANT18,2023-12-04,TRANSFER,1667,OUT,224.51,480985.6,,
TXN_00000084,PROD_1701237,PLANT02,2023-03-05,SHIPMENT,4530,OUT,143.88,494094.66,V002_CARRIER,ORD1404405
TXN_00000085,PROD_1701925,PLANT17,2024-08-14,TRANSFER,705,OUT,432.64,139937.4,,
TXN_00000086,PROD_1701053,PLANT11,2023-12-17,TRANSFER,1979,OUT,464.03,675775.39,,
TXN_00000087,PROD_1700355,PLANT17,2024-12-28,TRANSFER,2097,OUT,168.18,100571.07,,
TXN_00000088,PROD_1700700,PLANT19,2024-01-05,SHIPMENT,437,OUT,88.99,18795.54,V005_CARRIER,ORD1426641
TXN_00000089,PROD_1701397,PLANT15,2023-07-19,ADJUSTMENT,3028,OUT,295.78,1290799.51,,
TXN_00000090,PROD_1700214,PLANT19,2023-12-06,SHIPMENT,1179,OUT,294.74,18066.83,V006_CARRIER,ORD1448722
TXN_00000091,PROD_1700215,PLANT05,2024-03-23,RECEIPT,3804,IN,429.81,1354696.64,,
TXN_00000092,PROD_1700826,PLANT13,2024-07-26,RETURN,3945,IN,176.89,1928152.69,,
TXN_00000093,PROD_1701002,PLANT08,2024-10-25,RECEIPT,4234,IN,110.14,682884.92,,
TXN_00000094,PROD_1700187,PLANT03,2024-06-03,RECEIPT,3378,IN,205.88,1247884.63,,
TXN_00000095,PROD_1700137,PLANT12,2024-02-09,RETURN,261,IN,189.68,112813.66,,
TXN_00000096,PROD_1700436,PLANT16,2023-07-08,RECEIPT,553,IN,43.97,177493.85,,
TXN_00000097,PROD_1700900,PLANT19,2024-03-06,SHIPMENT,1631,OUT,222.33,126477.14,V013_CARRIER,ORD1433972
TXN_00000098,PROD_1700700,PLANT15,2024-02-17,SHIPMENT,4684,OUT,412.14,370598.66,V012_CARRIER,ORD1404306
TXN_00000099,PROD_1700491,PLANT18,2023-11-17,TRANSFER,3315,OUT,442.17,1285461.21,,
TXN_00000100,PROD_1700352,PLANT19,2023-07-11,RECEIPT,4910,IN,23.21,672038.0,,
TXN_00000101,PROD_1701953,PLANT18,2023-02-22,TRANSFER,1817,OUT,145.37,95874.37,,
TXN_00000102,PROD_1700131,PLANT04,2023-05-30,RECEIPT,1803,IN,319.17,724531.02,,
TXN_00000103,PROD_1700187,PLANT03,2024-04-01,ADJUSTMENT,2421,OUT,14.18,427729.55,,
TXN_00000104,PROD_1700478,PLANT07,2023-10-10,SHIPMENT,1287,OUT,68.0,9002.09,V012_CARRIER,ORD1403072
TXN_00000105,PROD_1701397,PLANT04,2024-01-05,RETURN,2825,IN,499.14,4512.44,,
TXN_00000106,PROD_1700214,PLANT10,2024-04-07,RECEIPT,1558,IN,369.04,364817.0,,
TXN_00000107,PROD_1700131,PLANT04,2023-08-10,ADJUSTMENT,3388,OUT,1.85,1592202.34,,
TXN_00000108,PROD_1701805,PLANT01,2024-03-30,ADJUSTMENT,3716,OUT,94.99,1148172.01,,
TXN_00000109,PROD_1700833,PLANT04,2024-09-19,ADJUSTMENT,1914,OUT,198.32,319548.11,,
TXN_00000110,PROD_1700187,PLANT05,2024-10-02,ADJUSTMENT,3913,OUT,459.73,367868.63,,
TXN_00000111,PROD_1701112,PLANT17,2024-02-02,RETURN,787,IN,148.39,210247.54,,
TXN_00000112,PROD_1700704,PLANT15,2023-05-25,ADJUSTMENT,2434,OUT,75.66,1160413.08,,
TXN_00000113,PROD_1700390,PLANT11,2023-10-19,RECEIPT,965,IN,78.39,425811.8,,
TXN_00000114,PROD_1701452,PLANT11,2024-03-31,SHIPMENT,766,OUT,365.9,303757.49,V013_CARRIER,ORD1442798
TXN_00000115,PROD_1701896,PLANT19,2024-08-26,RETURN,866,IN,456.6,44201.58,,
TXN_00000116,PROD_1701005,PLANT03,2023-01-23,TRANSFER,4425,OUT,437.93,1284884.0,,
TXN_00000117,PROD_1700132,PLANT19,2023-06-21,ADJUSTMENT,4322,OUT,165.69,1552132.48,,
TXN_00000118,PROD_1701925,PLANT11,2024-08-21,ADJUSTMENT,1831,OUT,417.86,75706.18,,
TXN_00000119,PROD_1700401,PLANT12,2023-03-09,SHIPMENT,1956,OUT,217.77,376165.38,V009_CARRIER,ORD1446185
TXN_00000120,PROD_1700214,PLANT01,2024-01-14,TRANSFER,4065,OUT,423.53,1195616.6,,
TXN_00000121,PROD_1700187,PLANT03,2024-01-31,ADJUSTMENT,3818,OUT,53.05,60217.41,,
TXN_00000122,PROD_1700897,PLANT13,2023-05-17,SHIPMENT,479,OUT,279.68,19456.29,V005_CARRIER,ORD1441819
TXN_00000123,PROD_1701805,PLANT01,2023-07-26,SHIPMENT,1800,OUT,168.31,814109.13,V001_CARRIER,ORD1432602
TXN_00000124,PROD_1701949,PLANT07,2023-03-05,RETURN,586,IN,24.59,254562.86,,
TXN_00000125,PROD_1701896,PLANT15,2023-08-30,RETURN,1795,IN,120.1,441829.01,,
TXN_00000126,PROD_1700491,PLANT18,2023-10-31,RECEIPT,210,IN,42.24,94788.15,,
TXN_00000127,PROD_1700833,PLANT06,2024-09-29,ADJUSTMENT,3102,OUT,424.9,1501809.63,,
TXN_00000128,PROD_1701257,PLANT01,2024-12-05,RECEIPT,814,IN,223.5,114889.72,,
TXN_00000129,PROD_1700355,PLANT17,2024-04-02,RECEIPT,1784,IN,464.34,695120.47,,
TXN_00000130,PROD_1701896,PLANT19,2023-02-05,ADJUSTMENT,237,OUT,393.97,50511.49,,
TXN_00000131,PROD_1701896,PLANT19,2023-08-25,RECEIPT,213,IN,393.54,26517.26,,
TXN_00000132,PROD_1701896,PLANT15,2023-03-31,RECEIPT,532,IN,200.16,70120.28,,
TXN_00000133,PROD_1700917,PLANT03,2023-03-08,TRANSFER,3837,OUT,272.91,1354089.8,,
TXN_00000134,PROD_1700131,PLANT20,2023-05-26,RECEIPT,4550,IN,272.82,21276.06,,
TXN_00000135,PROD_1700700,PLANT19,2023-07-09,RETURN,1807,IN,404.6,749632.59,,
TXN_00000136,PROD_1701257,PLANT18,2023-04-09,SHIPMENT,3507,OUT,59.44,1518519.05,V009_CARRIER,ORD1442977
TXN_00000137,PROD_1700897,PLANT13,2023-03-10,RECEIPT,4827,IN,236.36,293250.69,,
TXN_00000138,PROD_1700355,PLANT17,2023-01-15,RECEIPT,1453,IN,298.68,387757.26,,
TXN_00000139,PROD_1700833,PLANT06,2024-07-18,ADJUSTMENT,4463,OUT,21.83,1558049.97,,
TXN_00000140,PROD_1700562,PLANT07,2023-05-12,SHIPMENT,581,OUT,55.38,252485.32,V015_CARRIER,ORD1433949
TXN_00000141,PROD_1701112,PLANT06,2023-08-29,TRANSFER,804,OUT,54.8,186916.35,,
TXN_00000142,PROD_1700917,PLANT03,2023-11-11,RECEIPT,299,IN,345.56,75054.2,,
TXN_00000143,PROD_1701112,PLANT17,2023-06-12,RECEIPT,458,IN,426.92,2014.4,,
TXN_00000144,PROD_1701053,PLANT09,2023-02-28,ADJUSTMENT,3865,OUT,374.06,1748918.01,,
TXN_00000145,PROD_1700456,PLANT10,2023-03-23,SHIPMENT,1078,OUT,130.14,358989.97,V004_CARRIER,ORD1434554
TXN_00000146,PROD_1700903,PLANT03,2024-03-12,RETURN,4936,IN,257.93,70322.23,,
TXN_00000147,PROD_1701452,PLANT11,2023-08-06,TRANSFER,4822,OUT,57.92,1086062.56,,
TXN_00000148,PROD_1700355,PLANT17,2023-09-16,ADJUSTMENT,4069,OUT,91.74,1889825.65,,
TXN_00000149,PROD_1701731,PLANT01,2023-04-10,RETURN,2706,IN,438.62,563629.77,,
TXN_00000150,PROD_1701925,PLANT17,2024-10-23,TRANSFER,2800,OUT,455.18,598658.04,,
TXN_00000151,PROD_1700131,PLANT04,2023-04-15,ADJUSTMENT,1822,OUT,430.93,820822.55,,
TXN_00000152,PROD_1700214,PLANT01,2024-03-08,RETURN,3244,IN,435.55,595707.91,,
TXN_00000153,PROD_1700110,PLANT02,2024-02-22,RETURN,2776,IN,288.72,508584.09,,
TXN_00000154,PROD_1701053,PLANT09,2023-02-06,ADJUSTMENT,4621,OUT,79.17,440364.25,,
TXN_00000155,PROD_1701053,PLANT11,2023-03-09,RETURN,3289,IN,229.78,694706.33,,
TXN_00000156,PROD_1701053,PLANT09,2023-02-08,TRANSFER,1665,OUT,384.36,264997.21,,
TXN_00000157,PROD_1701422,PLANT19,2024-05-31,ADJUSTMENT,1182,OUT,468.18,234054.15,,
TXN_00000158,PROD_1701731,PLANT01,2024-10-06,TRANSFER,1372,OUT,274.19,131505.5,,
TXN_00000159,PROD_1701815,PLANT11,2024-02-20,RECEIPT,2579,IN,302.99,148272.21,,
TXN_00000160,PROD_1700619,PLANT03,2024-01-18,SHIPMENT,1285,OUT,93.08,296031.43,V013_CARRIER,ORD1446495
TXN_00000161,PROD_1701304,PLANT06,2023-03-16,RETURN,4089,IN,237.57,518120.37,,
TXN_00000162,PROD_1701397,PLANT19,2023-04-05,RETURN,1181,IN,195.31,397403.01,,
TXN_00000163,PROD_1700355,PLANT17,2024-12-31,RETURN,3047,IN,192.79,1042149.69,,
TXN_00000164,PROD_1700897,PLANT13,2024-10-27,RETURN,4475,IN,281.54,1826888.9,,
TXN_00000165,PROD_1701949,PLANT07,2023-06-14,ADJUSTMENT,3105,OUT,78.72,240664.16,,
TXN_00000166,PROD_1701053,PLANT09,2024-11-16,TRANSFER,2181,OUT,238.76,497201.07,,
TXN_00000167,PROD_1700704,PLANT04,2023-06-06,RETURN,3717,IN,116.76,1748085.49,,
TXN_00000168,PROD_1701257,PLANT12,2023-08-08,ADJUSTMENT,960,OUT,346.74,465213.15,,
TXN_00000169,PROD_1701953,PLANT18,2024-12-11,RECEIPT,1141,IN,305.09,155848.68,,
TXN_00000170,PROD_1700562,PLANT07,2023-11-19,TRANSFER,2150,OUT,74.9,291630.62,,
TXN_00000171,PROD_1701953,PLANT18,2024-03-01,RECEIPT,531,IN,357.44,50922.43,,
TXN_00000172,PROD_1700562,PLANT07,2023-09-02,RECEIPT,3373,IN,105.94,27780.26,,
TXN_00000173,PROD_1700742,PLANT01,2023-07-30,RECEIPT,3986,IN,311.94,1719267.83,,
TXN_00000174,PROD_1700110,PLANT13,2023-03-16,ADJUSTMENT,294,OUT,112.67,65268.63,,
TXN_00000175,PROD_1700700,PLANT19,2023-03-03,TRANSFER,4497,OUT,58.2,66815.85,,
TXN_00000176,PROD_1701257,PLANT18,2024-08-12,RETURN,1862,IN,175.98,628015.96,,
TXN_00000177,PROD_1701423,PLANT14,2023-10-25,SHIPMENT,1540,OUT,221.14,594507.69,V015_CARRIER,ORD1436873
TXN_00000178,PROD_1700214,PLANT01,2024-06-10,TRANSFER,73,OUT,141.86,16739.48,,
TXN_00000179,PROD_1700137,PLANT12,2023-12-05,RECEIPT,3369,IN,332.47,66088.79,,
TXN_00000180,PROD_1700700,PLANT15,2024-06-17,ADJUSTMENT,404,OUT,94.53,89574.44,,
TXN_00000181,PROD_1700352,PLANT11,2023-09-06,RECEIPT,2598,IN,496.1,719111.3,,
TXN_00000182,PROD_1700436,PLANT17,2024-07-20,ADJUSTMENT,3723,OUT,6.82,57361.16,,
TXN_00000183,PROD_1701953,PLANT18,2024-04-01,RETURN,2075,IN,40.78,730789.86,,
TXN_00000184,PROD_1701257,PLANT18,2024-02-06,RETURN,4839,IN,299.0,1685217.32,,
TXN_00000185,PROD_1700900,PLANT08,2023-12-25,TRANSFER,1771,OUT,407.52,790250.88,,
TXN_00000186,PROD_1700619,PLANT08,2024-04-28,RECEIPT,1211,IN,360.74,15610.08,,
TXN_00000187,PROD_1700436,PLANT17,2023-03-31,SHIPMENT,4432,OUT,105.23,665235.92,V008_CARRIER,ORD1403911
TXN_00000188,PROD_1700390,PLANT11,2024-06-29,RECEIPT,2538,IN,104.87,924511.72,,
TXN_00000189,PROD_1700110,PLANT02,2023-04-03,TRANSFER,213,OUT,292.97,12705.55,,
TXN_00000190,PROD_1700390,PLANT11,2024-05-17,TRANSFER,3531,OUT,290.92,1068028.81,,
TXN_00000191,PROD_1700352,PLANT11,2024-10-08,ADJUSTMENT,3343,OUT,273.61,90977.04,,
TXN_00000192,PROD_1700826,PLANT03,2024-04-18,TRANSFER,4087,OUT,497.37,1346736.12,,
TXN_00000193,PROD_1700436,PLANT17,2023-07-16,TRANSFER,1345,OUT,479.31,583827.62,,
TXN_00000194,PROD_1700917,PLANT03,2024-03-24,RECEIPT,1901,IN,110.71,144260.77,,
TXN_00000195,PROD_1701731,PLANT01,2024-05-14,RECEIPT,3909,IN,59.31,144776.27,,
TXN_00000196,PROD_1701304,PLANT19,2023-03-21,RETURN,292,IN,82.05,116674.24,,
TXN_00000197,PROD_1701731,PLANT01,2023-12-02,RECEIPT,4545,IN,161.61,655283.28,,
TXN_00000198,PROD_1701135,PLANT18,2023-04-08,RECEIPT,2147,IN,3.46,318203.34,,
TXN_00000199,PROD_1701805,PLANT01,2023-02-23,RECEIPT,4062,IN,210.68,1332423.75,,
TXN_00000200,PROD_1700390,PLANT11,2024-02-14,TRANSFER,183,OUT,265.07,15051.07,,
TXN_00000201,PROD_1700562,PLANT07,2023-09-04,SHIPMENT,457,OUT,173.48,34905.08,V015_CARRIER,ORD1428291
TXN_00000202,PROD_1701594,PLANT12,2023-09-22,RETURN,2182,IN,475.26,1013136.33,,
TXN_00000203,PROD_1701423,PLANT10,2023-05-23,RECEIPT,1800,IN,137.08,739817.46,,
TXN_00000204,PROD_1701237,PLANT07,2023-02-17,SHIPMENT,660,OUT,344.3,90284.5,V012_CARRIER,ORD1431311
TXN_00000205,PROD_1700456,PLANT17,2024-06-09,ADJUSTMENT,1311,OUT,463.34,564075.32,,
TXN_00000206,PROD_1700900,PLANT19,2024-03-04,ADJUSTMENT,1320,OUT,49.19,160638.16,,
TXN_00000207,PROD_1700903,PLANT03,2023-06-03,TRANSFER,3515,OUT,124.81,976317.81,,
TXN_00000208,PROD_1701422,PLANT17,2023-05-26,RETURN,3920,IN,323.09,1758080.89,,
TXN_00000209,PROD_1701397,PLANT15,2023-05-07,TRANSFER,2199,OUT,233.69,420187.72,,
TXN_00000210,PROD_1700214,PLANT01,2024-02-05,SHIPMENT,3480,OUT,178.95,756585.29,V011_CARRIER,ORD1412648
TXN_00000211,PROD_1701473,PLANT14,2023-08-12,TRANSFER,3784,OUT,176.43,18323.89,,
TXN_00000212,PROD_1700132,PLANT04,2023-05-09,RETURN,4014,IN,83.19,927562.75,,
TXN_00000213,PROD_1701452,PLANT11,2024-03-11,RECEIPT,2494,IN,370.27,1045616.35,,
TXN_00000214,PROD_1701815,PLANT11,2023-06-17,RETURN,3299,IN,122.25,1041167.46,,
TXN_00000215,PROD_1700401,PLANT12,2023-11-27,TRANSFER,941,OUT,116.01,23429.2,,
TXN_00000216,PROD_1700700,PLANT15,2023-11-25,TRANSFER,403,OUT,165.49,114307.72,,
TXN_00000217,PROD_1700826,PLANT13,2023-10-23,TRANSFER,2227,OUT,26.59,255965.17,,
TXN_00000218,PROD_1700110,PLANT02,2024-01-09,TRANSFER,830,OUT,194.57,141039.42,,
TXN_00000219,PROD_1701005,PLANT03,2023-07-30,RETURN,2159,IN,61.91,968641.39,,
TXN_00000220,PROD_1701731,PLANT01,2023-09-09,TRANSFER,1269,OUT,320.06,447833.73,,
TXN_00000221,PROD_1700352,PLANT16,2024-02-27,RETURN,2645,IN,165.61,271813.25,,
TXN_00000222,PROD_1701473,PLANT09,2023-07-27,TRANSFER,1165,OUT,385.03,558234.08,,
TXN_00000223,PROD_1700791,PLANT01,2023-05-30,RECEIPT,1956,IN,261.88,370675.11,,
TXN_00000224,PROD_1701896,PLANT12,2023-08-16,RECEIPT,4096,IN,449.76,1648809.4,,
TXN_00000225,PROD_1701002,PLANT08,2023-07-17,ADJUSTMENT,2092,OUT,482.46,186418.81,,
TXN_00000226,PROD_1701423,PLANT14,2024-09-04,ADJUSTMENT,3513,OUT,203.39,1021796.57,,
TXN_00000227,PROD_1700131,PLANT06,2024-05-01,ADJUSTMENT,2541,OUT,335.42,571187.32,,
TXN_00000228,PROD_1700131,PLANT04,2023-07-09,RETURN,4128,IN,263.57,710815.31,,
TXN_00000229,PROD_1701005,PLANT06,2023-07-15,SHIPMENT,3911,OUT,251.3,480879.23,V004_CARRIER,ORD1408084
TXN_00000230,PROD_1700619,PLANT05,2024-03-28,RECEIPT,4243,IN,485.13,1826648.97,,
TXN_00000231,PROD_1701953,PLANT18,2023-01-27,RETURN,3759,IN,379.27,1415019.68,,
TXN_00000232,PROD_1701112,PLANT17,2023-05-05,TRANSFER,1011,OUT,47.14,166813.27,,
TXN_00000233,PROD_1701002,PLANT08,2024-03-13,RETURN,259,IN,228.57,72796.59,,
TXN_00000234,PROD_1701005,PLANT06,2023-02-09,SHIPMENT,37,OUT,473.83,13998.32,V014_CARRIER,ORD1407114
TXN_00000235,PROD_1700763,PLANT15,2024-09-26,TRANSFER,4792,OUT,290.75,1513106.62,,
TXN_00000236,PROD_1701949,PLANT07,2024-06-19,ADJUSTMENT,2084,OUT,93.27,721277.35,,
TXN_00000237,PROD_1701896,PLANT19,2023-01-03,RECEIPT,1032,IN,117.67,152335.23,,
TXN_00000238,PROD_1700217,PLANT11,2024-01-26,ADJUSTMENT,3439,OUT,285.38,475637.96,,
TXN_00000239,PROD_1700131,PLANT06,2023-01-05,SHIPMENT,167,OUT,324.48,31491.72,V004_CARRIER,ORD1407746
TXN_00000240,PROD_1700562,PLANT07,2024-02-23,TRANSFER,2527,OUT,413.9,1192052.23,,
TXN_00000241,PROD_1700704,PLANT04,2023-02-06,SHIPMENT,2081,OUT,366.71,969513.36,V013_CARRIER,ORD1409903
TXN_00000242,PROD_1701304,PLANT01,2024-02-10,RETURN,75,IN,328.99,9405.06,,
TXN_00000243,PROD_1700763,PLANT12,2024-05-20,SHIPMENT,3479,OUT,456.01,1368555.11,V007_CARRIER,ORD1403673
TXN_00000244,PROD_1700187,PLANT02,2024-12-16,RECEIPT,1243,IN,412.35,555177.04,,
TXN_00000245,PROD_1700401,PLANT01,2024-11-22,RECEIPT,3632,IN,256.4,1385877.02,,
TXN_00000246,PROD_1700187,PLANT02,2024-09-23,RECEIPT,872,IN,308.38,158749.04,,
